"url","plant_name","division","street_address","city_state_zip","full_address"
"/3M/en_US/plant-locations-us/decatur/","3M Location","","","",""
"/3M/en_US/plant-locations-us/guin/","3M Location","","","",""
"/3M/en_US/plant-locations-us/littlerock/","3M Location","","12 Classroom Teaching","Little Rock, AR 72216","12 Classroom Teaching
Little Rock, AR 72216"
"/3M/en_US/plant-locations-us/corona/","3M Corona","Industrial Mineral Products Division","18750 Minnesota Road","Corona, CA 92881","3M Corona
Industrial Mineral Products Division
18750 Minnesota Road
Corona, CA 92881"
"/3M/en_US/plant-locations-us/irvine/","3M Location","","9001 Certification","Irvine, CA 92614","9001 Certification
Irvine, CA 92614"
"/3M/en_US/plant-locations-us/monrovia/","3M Location","","000 active customers in partnership with 3M Dental Products","Monrovia, CA 91016","000 active customers in partnership with 3M Dental Products
Monrovia, CA 91016"
"/3M/en_US/plant-locations-us/northridge/","3M Location","","19901 Nordhoff Street","Northridge, CA 91324","19901 Nordhoff Street
Northridge, CA 91324"
"/3M/en_US/plant-locations-us/newark/","3M Location","","2008 as a Wholly Owned Subsidiary","Newark, DE 19713","2008 as a Wholly Owned Subsidiary
Newark, DE 19713"
"/3M/en_US/plant-locations-us/cordova/","3M Location","","","",""
"/3M/en_US/plant-locations-us/dekalb/","3M Location","","000 square foot building","DeKalb, IL 60115","000 square foot building
DeKalb, IL 60115"
"/3M/en_US/plant-locations-us/hartfordcity/","3M Location","","","Hartford City, IN 47348","Hartford City, IN 47348"
"/3M/en_US/plant-locations-us/indianapolis/","3M Location","","","",""
"/3M/en_US/plant-locations-us/ames/","3M Location","","900 Dayton Ave","","900 Dayton Ave"
"/3M/en_US/plant-locations-us/knoxville/","3M Location","","","Knoxville, IA 50138","Knoxville, IA 50138"
"/3M/en_US/plant-locations-us/cynthiana/","3M Location","","1308 New Lair Road","","1308 New Lair Road"
"/3M/en_US/plant-locations-us/chelmsford/","3M Location","Electrical Markets Division","1974 to produce static electricity protection products","Chelmsford, MA 01824","Electrical Markets Division
1974 to produce static electricity protection products
Chelmsford, MA 01824"
"/3M/en_US/plant-locations-us/methuen/","3M Location","","000 square foot facility situated on 26 acres of land providing ample opportunity for expansion","","000 square foot facility situated on 26 acres of land providing ample opportunity for expansion"
"/3M/en_US/plant-locations-us/detroit/","3M Location","","8 Mile Boulevard Association","Detroit, MI 48205","8 Mile Boulevard Association
Detroit, MI 48205"
"/3M/en_US/plant-locations-us/alexandria/","3M Location","","2115 South Broadway","Alexandria, MN 56308","2115 South Broadway
Alexandria, MN 56308"
"/3M/en_US/plant-locations-us/cottagegrove/","3M Location","","10746 Innovation Road","","10746 Innovation Road"
"/3M/en_US/plant-locations-us/fairmont/","3M Location","","8 Lego Robotics","Fairmont, MN 56031","8 Lego Robotics
Fairmont, MN 56031"
"/3M/en_US/plant-locations-us/hutchinson/","3M Location","","915 Adams Street South East","Hutchinson, MN 55350","915 Adams Street South East
Hutchinson, MN 55350"
"/3M/en_US/plant-locations-us/columbia/","3M Location","","120 miles","Columbia, MO 65202","120 miles
Columbia, MO 65202"
"/3M/en_US/plant-locations-us/nevada/","3M Location","","5 School District","Nevada, MO 64772","5 School District
Nevada, MO 64772"
"/3M/en_US/plant-locations-us/springfield/","3M Location","","40 city for quality of life","Springfield, MO 65802","40 city for quality of life
Springfield, MO 65802"
"/3M/en_US/plant-locations-us/valley/","3M Location","Personal Safety Division","","Valley, NE 68064","Personal Safety Division
Valley, NE 68064"
"/3M/en_US/plant-locations-us/flemington/","3M Location","","500 Route 202 North","Flemington, NJ 08822","500 Route 202 North
Flemington, NJ 08822"
"/3M/en_US/plant-locations-us/tonawanda/","3M Location","","000 square feet","","000 square feet"
"/3M/en_US/plant-locations-us/pittsboro/","3M Location","","000 sq ft","Moncure, NC 27559","000 sq ft
Moncure, NC 27559"
"/3M/en_US/plant-locations-us/medina/","3M Location","","","Lake Road Medina, OH 44256","Lake Road Medina, OH 44256"
"/3M/en_US/plant-locations-us/greenville/","3M Location","","1 and HM2 Coaters coat film stock rolls with hot melt adhesive","","1 and HM2 Coaters coat film stock rolls with hot melt adhesive"
"/3M/en_US/plant-locations-us/aberdeen/","3M Location","","2012 Abby Award from the Aberdeen Area Chamber of Commerce","Aberdeen, SD 57401","2012 Abby Award from the Aberdeen Area Chamber of Commerce
Aberdeen, SD 57401"
"/3M/en_US/plant-locations-us/brookings/","3M Location","","67 percent","","67 percent"
"/3M/en_US/plant-locations-us/angleton/","3M Location","","1508 East Cedar Street","","1508 East Cedar Street"
"/3M/en_US/plant-locations-us/brownwood/","3M Location","","163 acres","Brownwood, TX 76804","163 acres
Brownwood, TX 76804"
"/3M/en_US/plant-locations-us/cumberland/","3M Location","","1640 Western Avenue","Cumberland, WI 54829","1640 Western Avenue
Cumberland, WI 54829"
"/3M/en_US/plant-locations-us/menomonie/","3M Location","","000 square feet","Menomonie, WI 54751","000 square feet
Menomonie, WI 54751"
"/3M/en_US/plant-locations-us/prairieduchien/","3M Location","Abrasives Systems Division","","Prairie du Chien, WI 53821","Abrasives Systems Division
Prairie du Chien, WI 53821"
"/3M/en_US/plant-locations-us/wausau/","3M Location","","1929 from the Wausau Abrasives Company","Wausau, WI 54401","1929 from the Wausau Abrasives Company
Wausau, WI 54401"
