"company","city","state","lon","lat"
"3M","aberdeen ","south dakota ",-98.4754318,45.4447353
"3M","alexandria ","Minnesota ",-95.3758747,45.8692906
"3M","ames ","iowa",-93.5789516,42.0296535
"3M","angelton","texas",-95.4137866,29.1685699
"3M","brookings ","south dakota ",-96.7641529,44.2960754
"3M","brownwood ","texas ",-98.9970085,31.6728344
"3M","chelmsford ","massachusets ",-71.3228476,42.595357
"3M","columbia ","missouri",-92.2752266,39.004378
"3M","corona","california",-117.5115725,33.8460872
"3M","cumberland ","wisconsin",-92.0177221,45.5403083
"3M","cynthiana ","kentuky ",-84.2943896,38.3744316
"3M","dekalb ","illinois",-88.7354252,41.9105473
"3M","detriot ","michigan ",-83.0033482,42.4488791
"3M","fairmont ","Minnesota ",-94.4462323,43.6589549
"3M","flemington","new jersey ",-74.817226,40.5154704
"3M","greenville ","south carolina ",-82.3601071,34.7482376
"3M","guin ","alabama",-87.8987096,33.9659222
"3M","hartford city ","indiana",-85.3701605,40.4513095
"3M","hutinson ","Minnesota ",-94.363169,44.881666
"3M","indianapolis  ","indiana",-86.2750622,39.8958983
"3M","irvine ","california",-117.8434483,33.6920803
"3M","knoxville ","iowa ",-93.0658504,41.3206249
"3M","little rock ","arkanas",-92.2391889,34.7089131
"3M","medina ","ohio ",-81.8935859,41.1142305
"3M","menomonie","wisconsin",-91.8844809,44.9002144
"3M","methuen ","massachusets ",-71.2374982,42.6914309
"3M","monrovia ","california",-118.003317,34.1151158
"3M","nevada","missouri",-94.3321114,37.8341063
"3M","new ulm ","Minnesota ",-94.4740458,44.3312313
"3M","newark ","deleware",-75.7318095,39.6513026
"3M","northridge ","california",-118.5672392,34.2344142
"3M","pittsboro","north carolina ",-79.2359355,35.7647922
"3M","prarie du chien ","wisconsin",-91.138993,43.0610482
"3M","springfeild ","missouri",-93.2275701,37.2139333
"3M","tonawanda","new york ",-78.9192598,42.9753936
"3M","valley ","nebraska ",-96.3378952,41.3076629
"AGC","alsip","illinois",-87.722495,41.658798
"AGC","axis","alabama",-88.0272647,30.9297926
"AGC","bayport","texas",-95.0201978,29.6030913
"AGC","beuamont","texas",-94.0585077,30.0600891
"AGC","birdsboro","pennyslvania",-75.8231344,40.2758454
"AGC","calhoun","georgia",-84.93575,34.564842
"AGC","calvert city","kentucky",-88.3668452,37.0531749
"AGC","cary","north carolina",-78.8123787,35.734748
