component,state,installation,n_fire_sites,lon,lat,matched_name,coord_source,match_score
Air Force,Alabama,MAXWELL,2,-86.36256,32.37912,MAXWELL,EWG_2019,100.0
Air Force,Alaska,CLEAR AIR FORCE STATION,1,-149.14892,64.30371,CLEAR AIR FORCE STATION,EWG_2019,100.0
Air Force,Alaska,EARECKSON AIR FORCE BASE,3,174.103616,52.720817,EARECKSON AIR FORCE BASE,EWG_2019,100.0
Air Force,Alaska,EIELSON AIR FORCE BASE,2,-147.06382,64.6431,EIELSON AIR FORCE BASE,EWG_2019,100.0
Air Force,Alaska,GALENA FOL,2,-156.95262,64.73703,GALENA FORWARD OPERATING LOCATION,EWG_2019,100.0
Air Force,Alaska,JBER-ELMENDORF,1,-149.81125,61.25364,JBER-ELMENDORF,EWG_2019,100.0
Air Force,Alaska,JBER-RICHARDSON,4,-149.81125,61.25364,JBER-ELMENDORF,EWG_2019,100.0
Air Force,Alaska,KING SALMON,4,-156.653998,58.678968,KING SALMON,EWG_2019,100.0
Air Force,Alaska,TED STEVENS INTERNATIONAL AIRPORT,1,-150.006825,61.192964,TED STEVENS INTERNATIONAL AIRPORT,EWG_2019,100.0
Air Force,Arizona,AFRL MESA,1,-111.671693,33.306559,AFRL MESA,EWG_2019,100.0
Air Force,Arizona,AIR FORCE PLANT 44,3,-110.95331,32.10794,AIR FORCE PLANT 44,EWG_2019,100.0
Air Force,Arizona,DAVIS-MONTHAN AIR FORCE BASE,3,-110.85926,32.16755,DAVIS-MONTHAN AIR FORCE BASE,EWG_2019,100.0
Air Force,Arizona,GOLDWATER RANGE,1,-113.473065,32.661936,GOLDWATER RANGE,EWG_2019,100.0
Air Force,Arizona,LUKE,3,-112.3755,33.54149,LUKE,EWG_2019,100.0
Air Force,Arizona,TUCSON INTERNATIONAL AIRPORT,1,-110.93923,32.11451,TUCSON INTERNATIONAL AIRPORT,EWG_2019,100.0
Air Force,Arizona,WILLIAMS AFB,3,-111.68128,33.310093,WILLIAMS AIR FORCE BASE,EWG_2019,100.0
Air Force,Arkansas,EAKER AFB,2,-89.94327,35.9646,EAKER AIR FORCE BASE,EWG_2019,100.0
