OBJECTID,SE_ANNO_CAD_DATA,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,x,y
1,System.Byte[],usa,na,Army Research Office,no,yes,no,na, ,,Army Research Office,act,usa,nc,-78.89884,35.9939400000001
2,System.Byte[],usa,na,Stratford Army Engine Plant,no,no,no,na, ,,Stratford Army Engine Plant,clsd,usa,CT,-73.12999,41.1800000000001
3,System.Byte[],usa,na,Devens Reserve Forces Tng Area,no,no,no,na, ,,Devens Reserve Forces Tng Area,act,usar,MA,-71.65814065,42.4959652650001
4,System.Byte[],usa,na,Fort Campbell,no,yes,no,na, ,,Fort Campbell,act,usa,TN,-87.599048631,36.5965078790001
5,System.Byte[],usa,na,NG Snake Creek TS Miramar,no,no,no,na, ,,NG Snake Creek TS Miramar,act,armyNationalGuard,FL,-80.304796467,25.9624301060001
6,System.Byte[],usa,na,Piñon Canyon Maneuver Site,no,yes,no,na, ,,Piñon Canyon Maneuver Site,act,usa,CO,-103.917980435,37.497708921
7,System.Byte[],usa,na,Stewart Annex,no,no,no,na, ,,Stewart Annex,act,usa,NY,-74.094335755,41.492587347
8,System.Byte[],usa,na,NG Sandson AASF,no,no,no,na, ,,NG Sandson AASF,act,armyNationalGuard,VA,-77.3126624229999,37.49414754
9,System.Byte[],usa,na,NG AASF02 Birmingham,no,no,no,na, ,,NG AASF02 Birmingham,act,armyNationalGuard,AL,-86.750149349,33.5710502320001
10,System.Byte[],usa,na,Aberdeen Proving Ground,no,yes,no,na, ,,Aberdeen Proving Ground,act,usa,MD,-76.284322185,39.3488873470001
11,System.Byte[],usa,na,Aliamanu Military Reservation,no,no,no,na, ,,Aliamanu Military Reservation,act,usa,HI,-157.911736764,21.360912296
12,System.Byte[],usa,na,Allen Stagefield AL,no,no,no,na, ,,Allen Stagefield AL,act,usa,AL,-85.6506347339999,31.2309994290001
13,System.Byte[],usa,na,Anniston Army Depot,no,yes,no,na, ,,Anniston Army Depot,act,usa,AL,-85.969334083,33.653248885
14,System.Byte[],usa,na,NG Arden Hills Army Training Site,no,no,no,na, ,,NG Arden Hills Army Training Site,act,armyNationalGuard,MN,-93.161098137,45.094897787
15,System.Byte[],usa,na,Arlington National Cemetery,no,no,no,na, ,,Arlington National Cemetery,act,usa,VA,-77.068624208,38.876077061
16,System.Byte[],usa,na,NG Atlanta United Ave,no,no,no,na, ,,NG Atlanta United Ave,act,armyNationalGuard,GA,-84.359876094,33.721048286
17,System.Byte[],usa,na,NG Auburn Training Site,no,no,no,na, ,,NG Auburn Training Site,act,armyNationalGuard,ME,-70.281721536,44.0848996010001
18,System.Byte[],usa,na,Badger AAP,no,no,no,na, ,,Badger AAP,EXCS,usa,WI,-89.7233867959999,43.3566698270001
19,System.Byte[],usa,na,NG Bangor Training Site,no,no,no,na, ,,NG Bangor Training Site,act,armyNationalGuard,ME,-68.837384104,44.8087413120001
20,System.Byte[],usa,na,NG Beauregard Training Range,no,no,no,na, ,,NG Beauregard Training Range,act,armyNationalGuard,LA,-92.295412775,31.4392788100001
21,System.Byte[],usa,na,NG Beightler Armory,no,no,no,na, ,,NG Beightler Armory,act,armyNationalGuard,OH,-83.067442894,40.0892143450001
22,System.Byte[],usa,na,NG Bend Cotef,no,no,no,na, ,,NG Bend Cotef,act,armyNationalGuard,OR,-121.128279438,44.0257926080001
23,System.Byte[],usa,na,NG Bergstrom - (Abia),no,no,no,na, ,,NG Bergstrom - (Abia),act,armyNationalGuard,TX,-97.672094965,30.1763045930001
24,System.Byte[],usa,na,NG Biak Training Center COUTES,no,no,no,na, ,,NG Biak Training Center COUTES,act,armyNationalGuard,OR,-121.116707723,44.2004727190001
25,System.Byte[],usa,na,NG Bismarck RJB Complex,no,no,no,na, ,,NG Bismarck RJB Complex,act,armyNationalGuard,ND,-100.719621823,46.8300911970001
26,System.Byte[],usa,na,Naval Research Laboratory – Blossom Point,no,yes,no,na, ,,Naval Research Laboratory – Blossom Point,act,usa,MD,-77.092251161,38.421820279
27,System.Byte[],usa,na,Blue Grass Army Depot,no,yes,no,na, ,,Blue Grass Army Depot,act,usa,KY,-84.2174542779999,37.6989636060001
28,System.Byte[],usa,na,NG Bog Brook Training Site,no,no,no,na, ,,NG Bog Brook Training Site,act,armyNationalGuard,ME,-70.936916171,44.3955511340001
29,System.Byte[],usa,na,NG Bremerton,no,no,no,na, ,,NG Bremerton,act,armyNationalGuard,WA,-122.681322243,47.552709765
30,System.Byte[],usa,na,Brown 4b Stagefield AL,no,no,no,na, ,,Brown 4b Stagefield AL,act,usa,AL,-85.9722716479999,31.3863191620001
31,System.Byte[],usa,na,Cairns Basefield AL,no,no,no,na, ,,Cairns Basefield AL,act,usa,AL,-85.7148832829999,31.278703916
32,System.Byte[],usa,na,NG Camp Adair Corvallis,no,no,no,na, ,,NG Camp Adair Corvallis,act,armyNationalGuard,OR,-123.270695908,44.714336368
33,System.Byte[],usa,na,NG Camp Ashland,no,no,no,na, ,,NG Camp Ashland,act,armyNationalGuard,NE,-96.3364004379999,41.0800098300001
34,System.Byte[],usa,na,NG Camp Atterbury,no,no,no,na, ,,NG Camp Atterbury,act,armyNationalGuard,IN,-86.046320416,39.29755013
35,System.Byte[],usa,na,NG Camp Bowie (State),no,no,no,na, ,,NG Camp Bowie (State),act,armyNationalGuard,TX,-98.9354829759999,31.639857717
36,System.Byte[],usa,na,Camp Dodge,no,yes,no,na, ,,Camp Dodge,act,armyNationalGuard,IA,-93.714710023,41.741475791
37,System.Byte[],usa,na,NG Camp Fogarty Tng Site,no,no,no,na, ,,NG Camp Fogarty Tng Site,act,armyNationalGuard,RI,-71.49922255,41.615687721
38,System.Byte[],usa,na,NG Camp Grafton,no,no,no,na, ,,NG Camp Grafton,act,armyNationalGuard,ND,-98.664246447,47.6929460210001
39,System.Byte[],usa,na,NG Camp Gruber,no,no,no,na, ,,NG Camp Gruber,act,armyNationalGuard,OK,-95.167267083,35.698242356
40,System.Byte[],usa,na,NG Camp Hartell,no,no,no,na, ,,NG Camp Hartell,act,armyNationalGuard,CT,-72.6658775559999,41.942099324
41,System.Byte[],usa,na,NG Camp Joseph T Robinson,no,no,no,na, ,,NG Camp Joseph T Robinson,act,armyNationalGuard,AR,-92.3522561629999,34.9300757300001
42,System.Byte[],usa,na,NG Camp Mabry,no,no,no,na, ,,NG Camp Mabry,act,armyNationalGuard,TX,-97.7615724509999,30.318610789
43,System.Byte[],usa,na,Camp MacKall,no,yes,no,na, ,,Camp MacKall,act,usa,NC,-79.481604556,35.0300775220001
44,System.Byte[],usa,na,NG Camp Maxey,no,no,no,na, ,,NG Camp Maxey,act,armyNationalGuard,TX,-95.5602882589999,33.7990870950001
45,System.Byte[],usa,na,NG Camp Minden Training Site,no,no,no,na, ,,NG Camp Minden Training Site,act,armyNationalGuard,LA,-93.394051921,32.5589228530001
46,System.Byte[],usa,na,Camp Navajo,no,yes,no,na, ,,Camp Navajo,act,armyNationalGuard,AZ,-111.850576733,35.194830064
47,System.Byte[],usa,na,NG State Military Reservation Camp Pendleton,no,no,no,na, ,,NG State Military Reservation Camp Pendleton,act,armyNationalGuard,VA,-75.979342317,36.8160534990001
48,System.Byte[],usa,na,NG Camp Perry Joint Training Center,no,no,no,na, ,,NG Camp Perry Joint Training Center,act,armyNationalGuard,OH,-83.0216458959999,41.5423679780001
49,System.Byte[],usa,na,NG Camp Rapid,no,no,no,na, ,,NG Camp Rapid,act,armyNationalGuard,SD,-103.266961845,44.0801374910001
50,System.Byte[],usa,na,NG Camp Nett,no,no,no,na, ,,NG Camp Nett,act,armyNationalGuard,CT,-72.187941286,41.3313898960001
51,System.Byte[],usa,na,NG Camp Ripley,no,no,no,na, ,,NG Camp Ripley,act,armyNationalGuard,MN,-94.4231019699999,46.2096962680001
52,System.Byte[],usa,na,NG Camp Sherman Joint Training Center,no,no,no,na, ,,NG Camp Sherman Joint Training Center,act,armyNationalGuard,OH,-82.950954791,39.355634396
53,System.Byte[],usa,na,NG Camp Smith Tng Site,no,no,no,na, ,,NG Camp Smith Tng Site,act,armyNationalGuard,NY,-73.95068286,41.3117513440001
54,System.Byte[],usa,na,NG Camp Swift,no,no,no,na, ,,NG Camp Swift,act,armyNationalGuard,TX,-97.294556958,30.261677386
55,System.Byte[],usa,na,NG Camp Villere,no,no,no,na, ,,NG Camp Villere,act,armyNationalGuard,LA,-89.808812371,30.3237611280001
56,System.Byte[],usa,na,NG Camp Williams Tomah MTA,no,no,no,na, ,,NG Camp Williams Tomah MTA,act,armyNationalGuard,WI,-90.272942324,43.930382509
57,System.Byte[],usa,na,NG Camp Withycombe Clackamas,no,no,no,na, ,,NG Camp Withycombe Clackamas,act,armyNationalGuard,OR,-122.559681256,45.412483948
