"","Group.1","x"
"1","Defense Commissary Agency",65261.59
"2","Defense Contract Management Agency",-275119.15
"3","Defense Health Agency",1189857.98
"4","Defense Information Systems Agency",1641425.48
"5","Defense Logistics Agency",20766950.2999999
"6","Defense Microelectronics Activity",4436320
"7","Defense Threat Reduction Agency",0
"8","Department of the Air Force",449518256.19
"9","Department of the Army",213717456.89
"10","Department of the Navy",19455483.31
"11","Department of Veterans Affairs",149744979.31
"12","Missile Defense Agency",0
"13","U.S. Special Operations Command",110641
"14","USTRANSCOM",181600
"15","Washington Headquarters Services",27821.52
