"","Group.1","x"
"1","ADAMS",2155103.14
"2","BANNER",350969
"3","BUFFALO",4458443.85999999
"4","BUTLER",28006.92
"5","CASS",4108042.89
"6","CEDAR",4136135.86
"7","CHASE",610331.09
"8","CHEYENNE",2997605.25
"9","CUMING",772617.33
"10","DAWES",335658.84
"11","DAWSON",2713083.94
"12","DIXON",156878.24
"13","DODGE",83098.72
"14","DOUGLAS",193392732.15
"15","FILLMORE",573379.2
"16","GAGE",2860129.57
"17","GARFIELD",446180.8
"18","HALL",6466694.87999999
"19","HAMILTON",132534.32
"20","HARLAN",6724812.99
"21","HITCHCOCK",321908.86
"22","JEFFERSON",32607.45
"23","JOHNSON",-24715.69
"24","KEARNEY",323058.14
"25","KIMBALL",1806017.57
"26","KNOX",709970.66
"27","LANCASTER",33766521.6
"28","LINCOLN",346338.37
"29","MADISON",18571001.35
"30","MORRILL",323332.25
"31","NANCE",775181.29
"32","OTOE",2008896
"33","PHELPS",31032
"34","PLATTE",0
"35","RED WILLOW",136506.7
"36","RICHARDSON",2018132.25
"37","SALINE",-1152
"38","SARPY",546771646.52
"39","SAUNDERS",2364809.5
"40","SCOTTS BLUFF",2003890.95
"41","SEWARD",21245
"42","SHERIDAN",308739.41
"43","SHERMAN",500265.39
"44","THURSTON",4317844.74
"45","WASHINGTON",0
"46","WAYNE",8321801.38
"47","WEBSTER",33089.78
"48","YORK",1290525.96
