"city","state","date.opened","date.aquired.by.3M..or.when.production.began.","type.of.building","Address.2","address","zip.code","link...all.locations.accessed.through.this.site.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","Address.x","Address.y","Address","lon","lat"
"aberdeen ","south dakota ","1974","1974","manufactering ","","610 North Brown County Road 19 ","57401","https://www.3m.com/3M/en_US/plant-locations-us/",NA,NA,NA,NA,NA,NA,NA,NA,"610 North Brown County Road 19, aberdeen, south dakota, 57401","610 North Brown County Road 19, aberdeen, south dakota, 57401","610 North Brown County Road 19, aberdeen, south dakota, 57401",-98.4754318,45.4447353
"alexandria ","Minnesota ","1967","1967","manufactering ","","2115 South Broadway Alexandira ","56308","https://www.3m.com/3M/en_US/energy-us/electrical-stories/",NA,NA,NA,NA,NA,NA,NA,NA,"2115 South Broadway Alexandira, alexandria, Minnesota, 56308","2115 South Broadway Alexandira, alexandria, Minnesota, 56308","2115 South Broadway Alexandira, alexandria, Minnesota, 56308",-95.3758747,45.8692906
"ames ","iowa","1970","1972","manufactering ","","900 Dayton Ave","50010","na",NA,NA,NA,NA,NA,NA,NA,NA,"900 Dayton Ave, ames, iowa, 50010","900 Dayton Ave, ames, iowa, 50010","900 Dayton Ave, ames, iowa, 50010",-93.5789516,42.0296535
"angelton","texas","2010","2010","manufactering ","","1508 East Cedar Street ","77515","na",NA,NA,NA,NA,NA,NA,NA,NA,"1508 East Cedar Street, angelton, texas, 77515","1508 East Cedar Street, angelton, texas, 77515","1508 East Cedar Street, angelton, texas, 77515",-95.4137866,29.1685699
"brookings ","south dakota ","1969","1971","manufactering ","","601 22nd Ave ","57006","na",NA,NA,NA,NA,NA,NA,NA,NA,"601 22nd Ave, brookings, south dakota, 57006","601 22nd Ave, brookings, south dakota, 57006","601 22nd Ave, brookings, south dakota, 57006",-96.7641529,44.2960754
"brownwood ","texas ","1963","1963","manufactering ","","4501 Highway 377 South ","76804","na",NA,NA,NA,NA,NA,NA,NA,NA,"4501 Highway 377 South, brownwood, texas, 76804","4501 Highway 377 South, brownwood, texas, 76804","4501 Highway 377 South, brownwood, texas, 76804",-98.9970085,31.6728344
"chelmsford ","massachusets ","1965","1974","manufactering ","","279 Billerica Road ","01824","na",NA,NA,NA,NA,NA,NA,NA,NA,"279 Billerica Road, chelmsford, massachusets, 01824","279 Billerica Road, chelmsford, massachusets, 01824","279 Billerica Road, chelmsford, massachusets, 01824",-71.3228476,42.595357
"columbia ","missouri","1970","1970","manufactering ","","5400 Route B ","65202","na",NA,NA,NA,NA,NA,NA,NA,NA,"5400 Route B, columbia, missouri, 65202","5400 Route B, columbia, missouri, 65202","5400 Route B, columbia, missouri, 65202",-92.2752266,39.004378
"corona","california","na ","1948","manufactering ","","18750 Minnesota Road ","92881","na",NA,NA,NA,NA,NA,NA,NA,NA,"18750 Minnesota Road, corona, california, 92881","18750 Minnesota Road, corona, california, 92881","18750 Minnesota Road, corona, california, 92881",-117.5115725,33.8460872
"cottage grove ","Minnesota ","1948","1948","manufactering ","","10746 Innovation Road ","55016","na",NA,NA,NA,NA,NA,NA,NA,NA,"10746 Innovation Road, cottage grove, Minnesota, 55016","10746 Innovation Road, cottage grove, Minnesota, 55016","10746 Innovation Road, cottage grove, Minnesota, 55016",NA,NA
"cumberland ","wisconsin","1950","1950","manufactering ","","1640 Western Avenue ","54829","na",NA,NA,NA,NA,NA,NA,NA,NA,"1640 Western Avenue, cumberland, wisconsin, 54829","1640 Western Avenue, cumberland, wisconsin, 54829","1640 Western Avenue, cumberland, wisconsin, 54829",-92.0177221,45.5403083
"cynthiana ","kentuky ","1969","1969","manufactering ","","1308 New Lair Road ","41031","na",NA,NA,NA,NA,NA,NA,NA,NA,"1308 New Lair Road, cynthiana, kentuky, 41031","1308 New Lair Road, cynthiana, kentuky, 41031","1308 New Lair Road, cynthiana, kentuky, 41031",-84.2943896,38.3744316
"dekalb ","illinois","1985","1985","manufactering ","","1250 Macom Drive ","60115","na",NA,NA,NA,NA,NA,NA,NA,NA,"1250 Macom Drive, dekalb, illinois, 60115","1250 Macom Drive, dekalb, illinois, 60115","1250 Macom Drive, dekalb, illinois, 60115",-88.7354252,41.9105473
"detriot ","michigan ","1950","1981","manufactering ","","11900 East 8 Mile Road ","48205","na",NA,NA,NA,NA,NA,NA,NA,NA,"11900 East 8 Mile Road, detriot, michigan, 48205","11900 East 8 Mile Road, detriot, michigan, 48205","11900 East 8 Mile Road, detriot, michigan, 48205",-83.0033482,42.4488791
"fairmont ","Minnesota ","1946","1946","manufactering ","","710 North State Street ","56031","na",NA,NA,NA,NA,NA,NA,NA,NA,"710 North State Street, fairmont, Minnesota, 56031","710 North State Street, fairmont, Minnesota, 56031","710 North State Street, fairmont, Minnesota, 56031",-94.4462323,43.6589549
"flemington","new jersey ","1969","1996","manufactering ","","500 Route 202 North ","08822","na",NA,NA,NA,NA,NA,NA,NA,NA,"500 Route 202 North, flemington, new jersey, 08822","500 Route 202 North, flemington, new jersey, 08822","500 Route 202 North, flemington, new jersey, 08822",-74.817226,40.5154704
"greenville ","south carolina ","1971","na ","manufactering ","","1400 Perimeter Road ","29605","na",NA,NA,NA,NA,NA,NA,NA,NA,"1400 Perimeter Road, greenville, south carolina, 29605","1400 Perimeter Road, greenville, south carolina, 29605","1400 Perimeter Road, greenville, south carolina, 29605",-82.3601071,34.7482376
"guin ","alabama","1955","1955","manufactering ","","6675 U.S Highway 43 ","35563","na",NA,NA,NA,NA,NA,NA,NA,NA,"6675 U.S Highway 43, guin, alabama, 35563","6675 U.S Highway 43, guin, alabama, 35563","6675 U.S Highway 43, guin, alabama, 35563",-87.8987096,33.9659222
"hartford city ","indiana","1955","1955","manufactering ","","Hartford City 0304S 075E ","47348","na",NA,NA,NA,NA,NA,NA,NA,NA,"Hartford City 0304S 075E, hartford city, indiana, 47348","Hartford City 0304S 075E, hartford city, indiana, 47348","Hartford City 0304S 075E, hartford city, indiana, 47348",-85.3701605,40.4513095
"hutinson ","Minnesota ","1947","1947","manufactering ","","915 Adams Street South East ","55350","na",NA,NA,NA,NA,NA,NA,NA,NA,"915 Adams Street South East, hutinson, Minnesota, 55350","915 Adams Street South East, hutinson, Minnesota, 55350","915 Adams Street South East, hutinson, Minnesota, 55350",-94.363169,44.881666
"indianapolis  ","indiana","1972","2008","manufactering ","","6467 W 79Th Street ","46268","na",NA,NA,NA,NA,NA,NA,NA,NA,"6467 W 79Th Street, indianapolis, indiana, 46268","6467 W 79Th Street, indianapolis, indiana, 46268","6467 W 79Th Street, indianapolis, indiana, 46268",-86.2750622,39.8958983
"irvine ","california","na ","1974","manufactering ","","2111 McGaw Avenue ","92614","na",NA,NA,NA,NA,NA,NA,NA,NA,"2111 McGaw Avenue, irvine, california, 92614","2111 McGaw Avenue, irvine, california, 92614","2111 McGaw Avenue, irvine, california, 92614",-117.8434483,33.6920803
"knoxville ","iowa ","1973","1973","manufactering ","","3406 E Pleaseant Street ","50138","na",NA,NA,NA,NA,NA,NA,NA,NA,"3406 E Pleaseant Street, knoxville, iowa, 50138","3406 E Pleaseant Street, knoxville, iowa, 50138","3406 E Pleaseant Street, knoxville, iowa, 50138",-93.0658504,41.3206249
"little rock ","arkanas","1947","1947","manufactering ","","3110 Walters Road ","72216","na",NA,NA,NA,NA,NA,NA,NA,NA,"3110 Walters Road, little rock, arkanas, 72216","3110 Walters Road, little rock, arkanas, 72216","3110 Walters Road, little rock, arkanas, 72216",-92.2391889,34.7089131
"medina ","ohio ","1960s","2002","manufactering ","","1030 Lake Road ","44256","na",NA,NA,NA,NA,NA,NA,NA,NA,"1030 Lake Road, medina, ohio, 44256","1030 Lake Road, medina, ohio, 44256","1030 Lake Road, medina, ohio, 44256",-81.8935859,41.1142305
"menomonie","wisconsin","1974","1974","manufactering ","","1425 Stokke Parkway","54751","na",NA,NA,NA,NA,NA,NA,NA,NA,"1425 Stokke Parkway, menomonie, wisconsin, 54751","1425 Stokke Parkway, menomonie, wisconsin, 54751","1425 Stokke Parkway, menomonie, wisconsin, 54751",-91.8844809,44.9002144
"methuen ","massachusets ","na ","2001","manufactering ","","501 Griffin Brook Park Drive","01844","na",NA,NA,NA,NA,NA,NA,NA,NA,"501 Griffin Brook Park Drive, methuen, massachusets, 01844","501 Griffin Brook Park Drive, methuen, massachusets, 01844","501 Griffin Brook Park Drive, methuen, massachusets, 01844",-71.2374982,42.6914309
"monrovia ","california","1947","1953","manufactering ","","2724 South Peck Road","91016","na",NA,NA,NA,NA,NA,NA,NA,NA,"2724 South Peck Road, monrovia, california, 91016","2724 South Peck Road, monrovia, california, 91016","2724 South Peck Road, monrovia, california, 91016",-118.003317,34.1151158
"nevada","missouri","1971","1971","manufactering ","","2120 E. Austin","64772","na",NA,NA,NA,NA,NA,NA,NA,NA,"2120 E. Austin, nevada, missouri, 64772","2120 E. Austin, nevada, missouri, 64772","2120 E. Austin, nevada, missouri, 64772",-94.3321114,37.8341063
"new ulm ","Minnesota ","1962","1962","manufactering ","1617 N. Front Street","1700 N. Minnesota Street","56073","na",NA,NA,NA,NA,NA,NA,NA,NA,"1700 N. Minnesota Street, new ulm, Minnesota, 56073","1700 N. Minnesota Street, new ulm, Minnesota, 56073","1700 N. Minnesota Street, new ulm, Minnesota, 56073",-94.4740458,44.3312313
"newark ","deleware","1970","2008","manufactering ","","650 Dawson Drive","19713","na",NA,NA,NA,NA,NA,NA,NA,NA,"650 Dawson Drive, newark, deleware, 19713","650 Dawson Drive, newark, deleware, 19713","650 Dawson Drive, newark, deleware, 19713",-75.7318095,39.6513026
