"PWSID","comid","intake_pathlength","n_upstream","n_upstream_pre2002","hydro_idw_all","hydro_idw_pre2002","nearest_up_km","ok"
"010106001",6168742,13.351,0,0,0,0,NA,TRUE
"090605013",948070501,51.984,13,2,7.42166907339814,1.62774920251735,0.600000000000001,TRUE
"AK2210906",NA,NA,NA,NA,NA,NA,NA,FALSE
"AK2320078",NA,NA,NA,NA,NA,NA,NA,FALSE
"AL0000013",22275788,639.5,0,0,0,0,NA,TRUE
"AL0000017",21681230,533.009,1,0,0.087204442784635,0,24.395,TRUE
"AL0000162",22202015,817.336,9,7,4.41728187740622,3.1286937030435,3.52800000000002,TRUE
"AL0000179",3296838,494.669,0,0,0,0,NA,TRUE
"AL0000180",3298884,512.326,0,0,0,0,NA,TRUE
"AL0000188",15823661,931.31,14,5,0.00905580934375446,0.00557706256572096,54.859,TRUE
"AL0000213",22275128,676.024,0,0,0,0,NA,TRUE
"AL0000256",21639116,154.617,0,0,0,0,NA,TRUE
"AL0000262",18547088,278.3,0,0,0,0,NA,TRUE
"AL0000314",19580237,2042.914,4,4,2.28420300152262,2.28420300152262,4.52700000000004,TRUE
"AL0000316",19581385,2040.811,2,2,0.92797283482708,0.92797283482708,7.67899999999986,TRUE
"AL0000320",19580757,2056.69,0,0,0,0,NA,TRUE
"AL0000321",19581357,2049.499,1,1,0.570124797007177,0.570124797007177,5.61900000000014,TRUE
"AL0000327",19623736,2037.839,26,13,1.54477893455543,1.43376187840558,9.36900000000014,TRUE
"AL0000331",19580319,2041.441,0,0,0,0,NA,TRUE
"AL0000409",18587998,821.845,0,0,0,0,NA,TRUE
"AL0000506",22198649,929.902,0,0,0,0,NA,TRUE
"AL0000539",21688514,550.531,1,0,0.439156252934053,0,8.22900000000004,TRUE
"AL0000540",22276622,608.984,8,3,0.00280594859634492,0.0019354266307802,63.064,TRUE
"AL0000549",21681014,544.09,1,0,0.230616297342409,0,14.67,TRUE
"AL0000577",26132875,855.728,4,2,2.71106054150889,1.33989253698736,2.98200000000008,TRUE
"AL0000580",26132875,855.728,4,2,2.71106054150889,1.33989253698736,2.98200000000008,TRUE
"AL0000587",22200435,862.892,0,0,0,0,NA,TRUE
"AL0000738",18566197,707.228,14,4,3.8599885394636,1.28166337828913,10.7180000000001,TRUE
"AL0000783",19580017,2059.043,3,2,2.54960990283767,1.67458243386006,1.33500000000004,TRUE
"AL0000798",19582757,2134.847,0,0,0,0,NA,TRUE
"AL0000804",21712316,723.523,0,0,0,0,NA,TRUE
"AL0000814",21712498,693.409,0,0,0,0,NA,TRUE
"AL0000816",21713194,745.541,1,0,0.590078323026867,0,5.27499999999998,TRUE
"AL0000820",3298268,440.682,0,0,0,0,NA,TRUE
"AL0000833",19622510,2129.758,0,0,0,0,NA,TRUE
"AL0000878",19619494,2165.925,0,0,0,0,NA,TRUE
"AL0000882",19620296,2170.916,11,6,4.88205932895411,2.15634648905235,4.15299999999979,TRUE
"AL0000888",19619802,2181.271,0,0,0,0,NA,TRUE
"AL0000893",19620938,2197.83,0,0,0,0,NA,TRUE
"AL0000899",19621618,2151.697,34,12,0.705634545980985,0.376272429102219,17.0329999999999,TRUE
"AL0000905",19621334,2180.326,0,0,0,0,NA,TRUE
"AL0000933",19649646,2236.981,0,0,0,0,NA,TRUE
"AL0000936",18562467,864.26,0,0,0,0,NA,TRUE
"AL0000943",19650370,2210.238,5,2,1.31247799145333,0.142490716379233,5.83300000000008,TRUE
"AL0001142",3435100,423.812,0,0,0,0,NA,TRUE
"AL0001145",3436090,383.902,0,0,0,0,NA,TRUE
"AL0001148",21656538,617.418,2,2,0.529483741687692,0.529483741687692,13.29,TRUE
"AL0001157",21655894,603.446,0,0,0,0,NA,TRUE
"AL0001160",21656220,584.517,3,2,0.876696031335484,0.40181928974041,7.447,TRUE
"AL0001163",21656528,630.508,0,0,0,0,NA,TRUE
"AL0001164",22271692,745.175,0,0,0,0,NA,TRUE
"AL0001203",22204027,786.09,0,0,0,0,NA,TRUE
"AL0001260",22206187,756.5,1,0,0.905289949868508,0,0.995000000000005,TRUE
"AL0001371",21458314,285.494,0,0,0,0,NA,TRUE
"AL0001393",166759133,299.931,0,0,0,0,NA,TRUE
"AL0001422",19647916,2279.382,0,0,0,0,NA,TRUE
"AL0001423",19580017,2059.043,3,2,2.54960990283767,1.67458243386006,1.33500000000004,TRUE
"AL0001671",22271202,724.89,0,0,0,0,NA,TRUE
"AR0000056",399516,1732.718,0,0,0,0,NA,TRUE
"AZ0404032",20437142,625.323,0,0,0,0,NA,TRUE
"AZ0406003",21357219,808.079,0,0,0,0,NA,TRUE
"AZ0407088",24979652,378.976,24,12,0.522637183591061,0.23320993488568,19.253,TRUE
"AZ0407090",NA,NA,NA,NA,NA,NA,NA,FALSE
"AZ0407092",NA,NA,NA,NA,NA,NA,NA,FALSE
"AZ0407093",20416164,419.717,0,0,0,0,NA,TRUE
"AZ0407094",20418234,383.587,4,3,1.8768336512309,1.48745382706265,3.22500000000002,TRUE
"AZ0407095",NA,NA,NA,NA,NA,NA,NA,FALSE
"AZ0407096",20417208,398.696,19,9,1.099278649588,0.407409480730535,17.955,TRUE
"AZ0407100",20481284,423.744,13,8,6.30898367163251,4.5942615982119,3.78699999999998,TRUE
"AZ0407101",24979652,378.976,24,12,0.522637183591061,0.23320993488568,19.253,TRUE
"AZ0407305",20416422,394.095,24,12,2.37033719814156,1.05768628982248,4.13399999999996,TRUE
"CA0110003",2806909,81.082,0,0,0,0,NA,TRUE
"CA0110008",2806177,55.011,0,0,0,0,NA,TRUE
"CA0410008",1680101,286.087,0,0,0,0,NA,TRUE
"CA1010003",17141686,79.693,1,0,0.562704868806956,0,5.75,TRUE
"CA1010007",17149532,11.654,21,11,1.02937021605459,0.536755022285941,17.908,TRUE
"CA1510003",17695743,3.798,135,77,101.560265979709,57.3997110951576,1.235,TRUE
"CA1510031",NA,NA,NA,NA,NA,NA,NA,FALSE
"CA1510055",17695743,3.798,135,77,101.560265979709,57.3997110951576,1.235,TRUE
"CA1910006",20362545,0,0,0,0,0,NA,TRUE
"CA1910011",20359324,-9999,0,0,0,0,NA,TRUE
