"compound","n_detected","mean_ug_L","median_ug_L","p95_ug_L","max_ug_L","pct_above_4ppt"
"4:2 FTS",0,NA,NA,NA,-Inf,NA
"PFHpS",1,0.0032,0.0032,0.0032,0.0032,100
"PFPeS",74,0.00652466216216216,0.005,0.011275,0.03245,100
"NFDHA",0,NA,NA,NA,-Inf,NA
"PFEESA",0,NA,NA,NA,-Inf,NA
"PFMBA",2,0.003,0.003,0.003,0.003,100
"PFPeA",3952,0.00983331013832659,0.00635,0.03375,0.1338,100
"8:2 FTS",73,0.0089,0.0089,0.0089,0.0089,100
"6:2 FTS",165,0.0954669696969697,0.12195,0.15945,0.15945,100
"PFBA",2238,0.0158042485850462,0.0091,0.030525,1.225,100
"HFPO-DA",19,0.0307105263157895,0.0335,0.0335,0.0335,100
"ADONA",0,NA,NA,NA,-Inf,NA
"9Cl-PF3ONS",0,NA,NA,NA,-Inf,NA
"11Cl-PF3OUdS",0,NA,NA,NA,-Inf,NA
"PFTrDA",0,NA,NA,NA,-Inf,NA
"PFMPA",2,0.00975,0.00975,0.00975,0.00975,100
"PFTA",0,NA,NA,NA,-Inf,NA
"PFUnA",0,NA,NA,NA,-Inf,NA
"NEtFOSAA",0,NA,NA,NA,-Inf,NA
"NMeFOSAA",0,NA,NA,NA,-Inf,NA
"PFBS",3523,0.0088609849560034,0.005,0.02405,0.15525,100
"PFHpA",1046,0.00704108508604206,0.00475,0.01985,0.06035,100
"PFNA",173,0.00735606936416185,0.0056,0.0148,0.0375,100
"PFOS",3671,0.0126931217651866,0.0094,0.0315,0.345,100
"PFOA",2855,0.00855068884997081,0.00685,0.0174133333333333,0.1814,100
"PFDA",7,0.00363571428571429,0.00305,0.004985,0.00515,100
"PFDoA",0,NA,NA,NA,-Inf,NA
"PFHxA",3225,0.008608834625323,0.00575,0.024,0.1298,100
"PFHxS",2870,0.00767538617886179,0.0056,0.01895,0.22195,100
