"PFAS","std.error","p.value","km1","km5","km10","km25"
"log_PFPeS",NA,NA,NA,NA,NA,NA
"log_PFPeS",0.0942884211235662,9.888445933367e-05,NA,-0.38876,NA,NA
"log_PFPeS",0.157543203684541,0.477741891148594,NA,NA,0.11243,NA
"log_PFPeS",0.187909139019454,0.13647777621943,NA,NA,NA,0.28296
"log_PFPeA",0.0330725918448475,0.83089288306818,-0.00706,NA,NA,NA
"log_PFPeA",0.021745438606213,0.00183802144277324,NA,-0.06779,NA,NA
"log_PFPeA",0.0256742997356934,8.58852053648207e-10,NA,NA,-0.15786,NA
"log_PFPeA",0.0535742315000305,0.0774774967176134,NA,NA,NA,0.09461
"log_8:2 FTS",NA,NA,NA,NA,NA,NA
"log_6:2 FTS",0.282946961659146,7.986109806183e-10,-1.84762,NA,NA,NA
"log_6:2 FTS",0.174084913798251,7.24300776842059e-16,NA,-1.55955,NA,NA
"log_6:2 FTS",0.144388548037438,1.71564737507299e-20,NA,NA,-1.54065,NA
"log_6:2 FTS",0.370511541347051,0.0173841491630225,NA,NA,NA,0.89034
"log_PFBA",0.0387143101984879,0.930621469272742,-0.00337,NA,NA,NA
"log_PFBA",0.0276838679257247,5.44159710222032e-06,NA,0.12618,NA,NA
"log_PFBA",0.0314350449217137,0.00186270718164105,NA,NA,0.09792,NA
"log_PFBA",0.0623149710105592,8.01283231222209e-07,NA,NA,NA,0.3084
"log_HFPO-DA",NA,NA,NA,NA,NA,NA
"log_PFBS",0.0339920251107004,5.36174935457347e-05,-0.13747,NA,NA,NA
"log_PFBS",0.0226715752445437,0.0970120484904279,NA,-0.03763,NA,NA
"log_PFBS",0.0276666041807852,7.98153664710303e-09,NA,NA,-0.15999,NA
"log_PFBS",0.0595376069143142,0.00189592820387105,NA,NA,NA,-0.18507
"log_PFHpA",0.0630089979152882,0.00270003681541974,0.18948,NA,NA,NA
"log_PFHpA",0.0357036009170417,0.653940838324674,NA,-0.01601,NA,NA
"log_PFHpA",0.0382151769681208,2.79482041408057e-05,NA,NA,-0.16082,NA
"log_PFHpA",0.0852326635803423,0.867118044271074,NA,NA,NA,-0.01426
"log_PFNA",0.0638699036402121,0.353295313570788,0.05945,NA,NA,NA
"log_PFNA",0.0532403880216584,0.419488950524264,NA,0.04309,NA,NA
"log_PFNA",0.0469368447496732,3.1401479850438e-11,NA,NA,0.3334,NA
"log_PFNA",NA,NA,NA,NA,NA,NA
"log_PFOS",0.0367152405446489,0.000665483184015597,0.12506,NA,NA,NA
"log_PFOS",0.0209549916171238,7.38542128497709e-45,NA,-0.29851,NA,NA
"log_PFOS",0.0261367117653881,1.27209276457052e-40,NA,NA,-0.35309,NA
"log_PFOS",0.0628348637289774,0.000649494541304936,NA,NA,NA,-0.21445
"log_PFOA",0.0276061558866747,0.000259350135769994,0.10097,NA,NA,NA
"log_PFOA",0.017160762296152,0.000116986434998177,NA,0.0662,NA,NA
"log_PFOA",0.021647764120018,0.0587468504410777,NA,NA,0.04093,NA
"log_PFOA",0.0721484798813317,9.81057876527728e-07,NA,NA,NA,-0.35397
"log_PFDA",0.0959267379841212,0.0136212596492619,-0.35746,NA,NA,NA
"log_PFDA",0.263533587766153,0.947693467933389,NA,0.01817,0.01817,0.01817
"log_PFHxA",0.0337352843897865,0.192113094292912,0.04401,NA,NA,NA
"log_PFHxA",0.0217993895078759,0.000104880244410005,NA,-0.08467,NA,NA
"log_PFHxA",0.0251358601900702,7.10805728297628e-14,NA,NA,-0.189,NA
"log_PFHxA",0.0521587778833941,0.102595789584756,NA,NA,NA,0.08517
"log_PFHxS",0.0261406716707828,6.86685194888953e-14,-0.19678,NA,NA,NA
"log_PFHxS",0.0225473331981248,0.059466963417011,NA,-0.04251,NA,NA
"log_PFHxS",0.0302506271562291,0.00113975024973356,NA,NA,-0.09852,NA
"log_PFHxS",0.0423912917831289,2.27553017613846e-05,NA,NA,NA,-0.17987
