"outcome","exposure","granularity","estimate","p.value","nobs","pct_var_absorbed","n_grp_identifying","eff_obs_identifying","sig"
"log_PFOA","idw_airport_10km","none",0.028,0.36,655,NA,NA,655,""
"log_PFOA","idw_airport_10km","state",0.0206,0.503,655,27.6,17,644,""
"log_PFOA","idw_airport_10km","zip3",-0.0154,0.751,651,76.7,82,548,""
"log_PFOA","idw_airport_10km","zcta",1.43,0.361,651,100,11,49,""
"log_PFOA","idw_exposure_10km","none",-0.00298,0.738,655,NA,NA,655,""
"log_PFOA","idw_exposure_10km","state",0.00688,0.441,655,33.8,17,644,""
"log_PFOA","idw_exposure_10km","zip3",0.0137,0.352,651,80.3,82,548,""
"log_PFOA","idw_exposure_10km","zcta",0.169,0.451,651,99.9,11,49,""
"log_PFOA","idw_tierweighted_10km","none",0.000306,0.98,655,NA,NA,655,""
"log_PFOA","idw_tierweighted_10km","state",0.00521,0.659,655,25.1,17,644,""
"log_PFOA","idw_tierweighted_10km","zip3",0.00309,0.869,651,76.2,82,548,""
"log_PFOA","idw_tierweighted_10km","zcta",0.204,0.136,651,99.6,11,49,""
"log_PFOS","idw_airport_10km","none",0.0847,0.0214,785,NA,NA,785,"**"
"log_PFOS","idw_airport_10km","state",0.1,0.0056,785,24,20,760,"***"
"log_PFOS","idw_airport_10km","zip3",-0.0101,0.846,781,70.4,87,639,""
"log_PFOS","idw_airport_10km","zcta",5.11,0.0169,781,100,19,80,"**"
"log_PFOS","idw_exposure_10km","none",0.00138,0.897,785,NA,NA,785,""
"log_PFOS","idw_exposure_10km","state",0.017,0.118,785,38.1,20,760,""
"log_PFOS","idw_exposure_10km","zip3",0.016,0.356,781,80.2,87,639,""
"log_PFOS","idw_exposure_10km","zcta",0.329,0.0437,781,99.8,19,80,"**"
"log_PFOS","idw_tierweighted_10km","none",0.0194,0.208,785,NA,NA,785,""
"log_PFOS","idw_tierweighted_10km","state",0.032,0.0344,785,31.4,20,760,"**"
"log_PFOS","idw_tierweighted_10km","zip3",0.0269,0.232,781,74.6,87,639,""
"log_PFOS","idw_tierweighted_10km","zcta",0.346,0.0123,781,99.4,19,80,"**"
