"model","outcome","estimate","p.value","nobs"
"Euclidean IDW (same SW subset)","log_PFOA",0.00844068133709217,0.850052007645354,290
"Upstream HydroIDW (all facilities)","log_PFOA",-0.0596158949856145,0.242621947138408,290
"Upstream HydroIDW (all) + ZCTA FE","log_PFOA",3.99778721065821,0.0239496615654264,301
"Upstream HydroIDW (pre-2002 legacy)","log_PFOA",-0.0331736421722309,0.481093276913317,290
"Upstream HydroIDW (pre-2002) + ZCTA FE","log_PFOA",4.44633400917058,0.0128256622931931,301
"Euclidean IDW (same SW subset)","log_PFOS",0.0165476600662328,0.749645034524298,333
"Upstream HydroIDW (all facilities)","log_PFOS",0.0138219035029496,0.692473686009283,333
"Upstream HydroIDW (all) + ZCTA FE","log_PFOS",2.41316100793269,0.0889745320045541,349
"Upstream HydroIDW (pre-2002 legacy)","log_PFOS",0.0145887308563827,0.656448409776816,333
"Upstream HydroIDW (pre-2002) + ZCTA FE","log_PFOS",2.4595513725414,0.0477712797924048,349
