"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs"
"log_HFPO-DA",-0.764274508053731,2.77187758788206e-17,-27572448054522396,1.78265726992685e-270,1,19
"log_PFPeS",0.0718598980305144,0.00128645893485919,55.8586800428108,8.71759266865742e-53,0.999586495393343,73
"log_PFBS",-0.0267607736104553,0.00523940591689211,-5.10759693654909,3.44633857886952e-07,0.304608309590532,3403
"log_PFOS",-0.0222716473241984,0.00507821707530871,-4.38572179840195,1.19001791959221e-05,0.318288651843939,3578
"log_PFPeA",0.0155459955862453,0.00534729578348275,2.90726307571489,0.00366743950104334,0.224749841080483,3828
"log_6:2 FTS",-10.9842667227836,3.8570479070286,-2.84784295854021,0.00504155002383149,0.743457638064839,165
"log_PFBA",-0.0107376169491771,0.00578863040432922,-1.8549494784028,0.0637426435993806,0.407371771097309,2186
"log_PFHxA",0.00862774467678657,0.0056128333699696,1.53714605584903,0.124360901630537,0.214953108068204,3139
"log_PFNA",0.143507007195623,0.0960117291829971,1.49468203954645,0.137004662853966,0.828261001135235,171
"log_PFHxS",-0.00532368825324346,0.00621152086813065,-0.857066790286034,0.391483505624952,0.224864650393365,2794
"log_PFHpA",0.0069814106146047,0.0118485366118066,0.589221339591255,0.555851865287935,0.258871658027079,1020
"log_PFOA",-0.000236990274972217,0.00466899667439021,-0.050758287379412,0.959521871958287,0.259635566940814,2784
"log_8:2 FTS",NA,NA,NA,NA,0,73
