"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs"
"log_PFPeS",0.935515796991327,0.0359916731965444,25.992561998511,0.0244803092627569,0.991765144459208,16
"log_PFOS",-0.457571728820833,0.341714936205099,-1.3390451523787,0.181288937369261,0.383289760252947,841
"log_PFPeA",-0.194471891398543,0.174240765962176,-1.11611017275233,0.264978643300512,0.186529218887359,921
"log_PFHpA",-0.726367966882512,0.77565204013288,-0.936461105366364,0.35138568519588,0.0570931378148999,238
"log_PFOA",-0.291789886079611,0.325182401464877,-0.897311431261842,0.370231583982434,0.303030565952322,696
"log_PFHxA",-0.106723867058348,0.156645822760461,-0.681306818002725,0.49609344285357,0.211131580730081,790
"log_PFHxS",0.290532551920064,0.5175702939752,0.561339310431879,0.574938222860602,0.140580929496939,676
"log_6:2 FTS",7.80344444287879,13.1583641429461,0.593040621015344,0.578959233146485,-0.89394004873808,24
"log_PFBS",-0.139959014144807,0.379643177143463,-0.368659369036726,0.712554246738396,0.470272273216758,912
"log_PFBA",0.0612819915890101,0.190076052059184,0.322407746399997,0.747369888795786,0.530358635882507,567
"log_PFNA",-0.0352112669736016,0.195813629502397,-0.179820307008663,0.868753883839482,-1.25748180664241,19
