"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs"
"log_PFPeS",0.580555932798785,0.0223354640005108,25.9925619985109,0.0244803092627569,0.991765144459208,16
"log_PFOS",0.313204891447916,0.158891718180002,1.9711844961806,0.0493667597679419,0.386370512024109,841
"log_PFHxS",0.448227122764667,0.283454516213412,1.58130175081493,0.114744335564116,0.146096885784211,676
"log_PFPeA",-0.239692197222696,0.16100184999762,-1.48875430453898,0.137261992412401,0.188298821946251,921
"log_PFHxA",-0.139582627370069,0.133985020074722,-1.04177785913847,0.298178761681927,0.21242072195573,790
"log_PFOA",0.17278416481682,0.226682631213852,0.762229394866234,0.446488082028187,0.302540133263156,696
"log_PFHpA",-0.288846406305296,0.449305943170141,-0.642872436245334,0.521839398972293,0.052558474314545,238
"log_6:2 FTS",7.53785352366757,12.7105180598961,0.593040621015348,0.578959233146482,-0.893940048738078,24
"log_PFBA",0.0733476253739941,0.175376440245123,0.418229639462841,0.67608045267832,0.530470416270395,567
"log_PFBS",-0.0415681988491993,0.177579051793724,-0.234082784142158,0.815026698568637,0.470177220902853,912
"log_PFNA",-0.0273691399482319,0.15220272061327,-0.179820307008663,0.868753883839482,-1.25748180664241,19
