"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs","experiment","period","n_facilities"
"log_PFOS",5.10617751213621,2.11263235282635,2.41697402073058,0.0160804788340094,0.389222840621859,841,"E_sector_airport","all_years",774
"log_PFOA",1.42792456049393,1.6656568512957,0.857274149464317,0.391938989218339,0.302876954629918,696,"E_sector_airport","all_years",774
"log_PFOS",11.782597012124,3.80920737839757,3.09318864573884,0.00211400050087067,0.394583086324688,841,"E_sector_airport","pre2002",270
"log_PFOA",3.6312099710004,3.25997020167222,1.11387827077001,0.266172608299994,0.30398147819629,696,"E_sector_airport","pre2002",270
"log_PFOS",0.188632013658686,0.350493675103291,0.538189494013254,0.590734751122867,0.381057201671754,841,"E_sector_chemical","all_years",4635
"log_PFOA",-0.151799973092423,0.297382157748052,-0.510454205598411,0.610087433629749,0.3018379187936,696,"E_sector_chemical","all_years",4635
"log_PFOS",0.208827794138739,0.333299781406758,0.626546447937468,0.531301067534397,0.381210543279548,841,"E_sector_chemical","pre2002",2029
"log_PFOA",-0.449413018684467,0.340583557567464,-1.3195382122798,0.187938459413589,0.305070880715842,696,"E_sector_chemical","pre2002",2029
"log_PFOS",1.29074165051879,0.963668613259511,1.33940405732733,0.181172228963764,0.38329118265562,841,"E_sector_electronics","all_years",1834
"log_PFOA",0.612140785475589,0.761489688622451,0.803872717676536,0.422070989082962,0.302682883196531,696,"E_sector_electronics","all_years",1834
"log_PFOS",0.854480616394709,1.07609006540003,0.794060500946139,0.427614024543358,0.381564834706377,841,"E_sector_electronics","pre2002",1121
"log_PFOA",-0.367931982321832,0.8762300467128,-0.419903407446639,0.674839576581737,0.301653064048504,696,"E_sector_electronics","pre2002",1121
"log_PFOS",0.17736720976013,0.267800295918637,0.662311477855938,0.508139249458278,0.381279202621935,841,"E_sector_metal","all_years",5857
"log_PFOA",-0.334537663168606,0.596982233334897,-0.560381271817407,0.575613975316418,0.301955181328633,696,"E_sector_metal","all_years",5857
"log_PFOS",0.57805919965566,0.347081981166437,1.66548317407022,0.0965710485385283,0.384737588227014,841,"E_sector_metal","pre2002",3101
"log_PFOA",0.322954863804135,0.81487469958511,0.396324568634376,0.692131409182764,0.301610820193931,696,"E_sector_metal","pre2002",3101
"log_PFOS",-1.23699673291122,1.28992116700631,-0.95897079957381,0.338131804385537,0.381994689933439,841,"E_sector_paper","all_years",334
"log_PFOA",-2.67321753862537,1.15452926978364,-2.31541772789038,0.0212261526142483,0.312850504715905,696,"E_sector_paper","all_years",334
"log_PFOS",-0.82563724871115,1.77673483877519,-0.464693566362616,0.64239462033556,0.380947328903185,841,"E_sector_paper","pre2002",139
"log_PFOA",-3.58612075707101,1.53310222893899,-2.33912696060252,0.0199477016129993,0.313084932937566,696,"E_sector_paper","pre2002",139
"log_PFOS",-0.547656070326332,0.40674489420078,-1.34643625066869,0.17889678590277,0.383319128034744,841,"E_sector_petroleum","all_years",660
"log_PFOA",-0.673304559255248,0.353799249741938,-1.90306949420147,0.0579343563255548,0.309134067494789,696,"E_sector_petroleum","all_years",660
