"outcome","spec","exposure","estimate","std.error","statistic","p.value","nobs","sig"
"log_PFBA","ols_cov","idw_airport_10km",0.178125258864051,0.0459285385967524,3.87831322977575,0.000120075074632823,546,"***"
"log_PFOS","ols_cov","idw_airport_10km",0.0857132081340664,0.0368580716044288,2.3254935595645,0.0203276370447825,781,"**"
"log_PFPeA","ols_cov","idw_airport_10km",0.070115021219688,0.0344415768205005,2.03576687516681,0.0421120985550173,854,"**"
"log_PFPeS","ols_cov","idw_airport_10km",0.704691987981626,0.130008253222794,5.42036348087842,0.116143694304877,15,""
"log_PFHxS","ols_cov","idw_airport_10km",-0.049974614129123,0.0382727682768605,-1.3057486139391,0.192181969630977,627,""
"log_6:2 FTS","ols_cov","idw_airport_10km",-2.80761827801885,1.93019959745556,-1.45457406670271,0.21947283664225,24,""
"log_PFOA","ols_cov","idw_airport_10km",0.0262866414556387,0.030788046459248,0.853793743959447,0.393574206477105,651,""
"log_PFHxA","ols_cov","idw_airport_10km",0.024187829615941,0.0340117707188768,0.711160551323973,0.47723830655917,732,""
"log_PFBS","ols_cov","idw_airport_10km",0.0250923909365588,0.0402603042445878,0.623253882636317,0.533304439154248,837,""
"log_PFHpA","ols_cov","idw_airport_10km",-0.03438127384736,0.0559406519260156,-0.614602666640907,0.539701211360721,221,""
"log_PFNA","ols_cov","idw_airport_10km",-0.614647384090225,2.59709245037928,-0.236667502537487,0.8281542111551,17,""
"log_PFOS","zcta_fe","idw_airport_10km",5.10617751213621,2.11263235282635,2.41697402073058,0.0160804788340094,841,"**"
"log_PFPeS","zcta_fe","idw_airport_10km",15.2506376802874,0.58673083788982,25.9925619985074,0.0244803092627602,16,"**"
"log_PFPeA","zcta_fe","idw_airport_10km",-0.94259988595804,0.699701851750012,-1.34714504985305,0.178620638955888,921,""
"log_PFHxS","zcta_fe","idw_airport_10km",2.89963113297,2.90385285146343,0.998546166521042,0.318728909275856,676,""
"log_PFHxA","zcta_fe","idw_airport_10km",-0.605462012161078,0.630266357084208,-0.960644662936028,0.337343321082798,790,""
"log_PFOA","zcta_fe","idw_airport_10km",1.42792456049393,1.6656568512957,0.857274149464317,0.391938989218339,696,""
"log_6:2 FTS","zcta_fe","idw_airport_10km",17.7274846731129,29.8925301992997,0.593040621015353,0.578959233146479,24,""
"log_PFBA","zcta_fe","idw_airport_10km",0.303077287200757,0.770866798266528,0.39316427673665,0.694479269898227,567,""
"log_PFNA","zcta_fe","idw_airport_10km",-0.172518853538767,0.959395834701007,-0.179820307008663,0.868753883839482,19,""
"log_PFHpA","zcta_fe","idw_airport_10km",-0.36527929866301,2.86454160462145,-0.127517540004898,0.898797522556591,238,""
"log_PFBS","zcta_fe","idw_airport_10km",-0.151175442374649,1.90441248863497,-0.0793816692952937,0.936764180229902,912,""
"log_PFBA","ols_cov","idw_airport_pre2002_10km",0.578309565015364,0.0778700980053852,7.42659351700534,5.23698967290701e-13,546,"***"
"log_PFBS","ols_cov","idw_airport_pre2002_10km",0.323190389613805,0.11195851317978,2.88669776361566,0.00400335626372031,837,"***"
"log_PFOS","ols_cov","idw_airport_pre2002_10km",0.207159397336244,0.108123670121928,1.91594862718437,0.0557746326504635,781,"*"
"log_PFOA","ols_cov","idw_airport_pre2002_10km",0.139630334748529,0.0773636287850851,1.80485761773687,0.0716190855151735,651,"*"
"log_PFPeS","ols_cov","idw_airport_pre2002_10km",97.3452996380251,17.9591829923488,5.42036348087202,0.116143694305011,15,""
"log_PFPeA","ols_cov","idw_airport_pre2002_10km",0.125775828073423,0.0842139797461717,1.49352670960952,0.135704795454417,854,""
"log_6:2 FTS","ols_cov","idw_airport_pre2002_10km",-83.9927826840123,57.7439022231511,-1.4545740667027,0.21947283664225,24,""
"log_PFHxA","ols_cov","idw_airport_pre2002_10km",0.0947447315690747,0.0929997045502849,1.01876379099512,0.308691835248597,732,""
"log_PFNA","ols_cov","idw_airport_pre2002_10km",-0.641411813514762,2.71018118938052,-0.236667502537486,0.8281542111551,17,""
"log_PFHpA","ols_cov","idw_airport_pre2002_10km",0.0238103115099893,0.189768353799702,0.125470401324769,0.90031066301866,221,""
"log_PFHxS","ols_cov","idw_airport_pre2002_10km",-0.00377503052397754,0.0987600045990389,-0.0382242846110021,0.969522678418419,627,""
"log_PFOS","zcta_fe","idw_airport_pre2002_10km",11.782597012124,3.80920737839757,3.09318864573884,0.00211400050087067,841,"***"
"log_PFPeS","zcta_fe","idw_airport_pre2002_10km",94968.7742993476,3653.69040145437,25.9925620029395,0.0244803092585901,16,"**"
"log_PFHxS","zcta_fe","idw_airport_pre2002_10km",7.85622472592241,4.81519364059398,1.63154907409981,0.103705842108198,676,""
"log_PFPeA","zcta_fe","idw_airport_pre2002_10km",-2.04805064011597,1.35101895895244,-1.5159303476422,0.130248559763454,921,""
"log_PFOA","zcta_fe","idw_airport_pre2002_10km",3.6312099710004,3.25997020167222,1.11387827077001,0.266172608299994,696,""
"log_PFHxA","zcta_fe","idw_airport_pre2002_10km",-1.30440445268744,1.21430260735099,-1.0742004874164,0.283416251987576,790,""
