"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs"
"log_HFPO-DA",0.00358743046212293,1.24417796634362e-18,2883374050310223,8.33358101953595e-254,1,19
"log_PFPeS",-9.43175744076148e-06,1.68850345792937e-07,-55.8586800427863,8.7175926688785e-53,0.999586495393342,73
"log_PFBS",-1.24425384509884e-07,1.81775995189655e-08,-6.84498436551346,9.06893128588656e-12,0.308888485490792,3403
"log_PFPeA",-1.08365431982634e-07,1.62989805359955e-08,-6.64860184005462,3.38651318699326e-11,0.232050959084095,3828
"log_PFOS",7.62866716944252e-08,1.78429289991359e-08,4.27545677607749,1.95830890781195e-05,0.318103813756018,3578
"log_PFHpA",1.59859652965108e-07,3.75496653038574e-08,4.25728569539834,2.27306178986752e-05,0.272383020838032,1020
"log_PFHxA",-6.18274347931577e-08,1.66231875127228e-08,-3.71934893628778,0.000203321306153231,0.217881743863338,3139
"log_6:2 FTS",0.002350280354312,0.000825284395433707,2.84784295851961,0.00504155002414024,0.743457638064642,165
"log_PFOA",-3.96266987585574e-08,2.0038934523319e-08,-1.97748531552136,0.0480880103103351,0.260702041239273,2784
"log_PFNA",-0.000287547841526486,0.000192380609332629,-1.49468203954646,0.137004662853962,0.828261001135236,171
"log_PFHxS",1.569834092731e-08,2.15114118235089e-08,0.729768043869347,0.465594844341557,0.224807074705862,2794
"log_PFBA",-2.3166396096761e-08,3.28503988332776e-08,-0.705208975219301,0.480757925510604,0.406546403700336,2186
"log_8:2 FTS",NA,NA,NA,NA,0,73
