"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs","estimate_in_km"
"log_6:2 FTS",0.000138527734122757,3.56978012140048e-05,3.88056769357577,0.000361580122176048,-0.0232524287130407,165,0.13853
"log_PFHxS",-2.56041700306365e-05,9.05432372536693e-06,-2.82783903108113,0.00474002300354058,0.080740614873895,2866,-0.0256
"log_PFPeS",-3.11098666824851e-07,1.19687573253728e-08,-25.9925619985081,0.0244803092627595,0.982490259685302,74,-0.00031
"log_PFOS",-6.96229289094493e-06,4.22314925812171e-06,-1.6486021367953,0.0993718217745547,0.385007608847833,3664,-0.00696
"log_PFOA",-6.44113241974669e-06,4.17298111001547e-06,-1.54353260892734,0.122895236420364,0.238941042492989,2850,-0.00644
"log_PFHpA",-9.79302831965919e-06,1.08473711340432e-05,-0.902801996782884,0.367042662481038,-0.282740047886689,1041,-0.00979
"log_PFHxA",3.01959382936451e-06,5.27388804914566e-06,0.572555541798743,0.567016936968047,0.0976296412208832,3218,0.00302
"log_PFBA",-1.33315660858322e-06,3.8855060074898e-06,-0.343110165320397,0.731585059240629,0.532637376790298,2233,-0.00133
"log_PFBS",9.09398987155675e-07,4.20380653556071e-06,0.216327506859061,0.82875635813119,0.51642594516636,3513,0.00091
"log_PFNA",0.000289767164073262,0.00200385156440455,0.144605104100795,0.885958718119328,0.130225070265548,171,0.28977
"log_PFPeA",-5.95444585912984e-07,5.46306254038912e-06,-0.108994649340143,0.913216900693928,0.116970985173263,3944,-6e-04
"log_8:2 FTS",NA,NA,NA,NA,NA,73,NA
"log_HFPO-DA",0.00358743046212292,NA,NA,NA,NA,19,3.58743
