"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs","estimate_in_km"
"log_PFPeS",-3.11449710908914e-07,1.1982262884542e-08,-25.9925619985109,0.024480309262757,0.991765144459208,16,-0.00031
"log_PFOS",-7.48116657244909e-05,5.36537723352602e-05,-1.39434120786557,0.163960590463699,0.383513322471569,841,-0.07481
"log_PFHxS",6.24838964724399e-05,5.2349386103042e-05,1.19359368129838,0.233474020368132,0.143390332007527,676,0.06248
"log_PFHxA",5.16348779854928e-05,5.01163379733133e-05,1.03030029873667,0.303526102071162,0.212371439073239,790,0.05163
"log_PFHpA",5.16544805028646e-05,6.00830237850414e-05,0.859718390466973,0.392086116542102,0.0557495886088007,238,0.05165
"log_PFPeA",5.06571028950002e-05,6.51264403381143e-05,0.777826987503168,0.437085282853541,0.185356986873701,921,0.05066
"log_PFBS",2.80113664986769e-05,4.03503738887911e-05,0.694203393898617,0.487911299686192,0.470677350973898,912,0.02801
"log_6:2 FTS",-0.00208829061470388,0.00352132811929181,-0.59304062102678,0.578959233139404,-0.893940048733282,24,-2.08829
"log_PFBA",-6.81067944231579e-05,0.000131170308922572,-0.519224167287434,0.603989827984607,0.530619455878015,567,-0.06811
"log_PFOA",9.76664227188967e-06,4.39271833530009e-05,0.222337093489571,0.824194205784508,0.301374460148226,696,0.00977
"log_PFNA",2.77854313378125e-05,0.000154517761647876,0.179820307008663,0.868753883839481,-1.25748180664241,19,0.02779
