"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs","estimate_in_km"
"log_PFPeS",-3.02081056437154e-07,1.16218269078074e-08,-25.9925619985117,0.0244803092627562,0.991765144459208,16,-3e-04
"log_PFOS",-0.000142944096674682,7.07980403261747e-05,-2.01904030134341,0.0441255383650799,0.38665011698943,841,-0.14294
"log_PFPeA",3.53316858395706e-05,2.77800848466315e-05,1.27183505862671,0.204097486028972,0.187208050471621,921,0.03533
"log_PFOA",-6.65616783727874e-05,6.8394162521069e-05,-0.973207009476617,0.331190119997324,0.303340788599402,696,-0.06656
"log_PFHxA",2.30840711500984e-05,2.49149126340397e-05,0.926516239055965,0.35476736945617,0.211950343719622,790,0.02308
"log_6:2 FTS",-0.0138212589717356,0.0233057542455283,-0.593040621046945,0.578959233126919,-0.893940048724817,24,-13.82126
"log_PFBA",-1.24435060401741e-05,3.01869711200954e-05,-0.41221446135384,0.680478609249235,0.53046255019641,567,-0.01244
"log_PFHxS",1.38525383207611e-05,5.53362663853635e-05,0.25033380865076,0.80248130398772,0.139939192602482,676,0.01385
"log_PFNA",1.11587428859914e-05,6.20549651572656e-05,0.179820307008663,0.868753883839482,-1.25748180664241,19,0.01116
"log_PFHpA",7.88884771652565e-06,0.000149075225010826,0.052918569909606,0.957906752109751,0.0485074450870602,238,0.00789
"log_PFBS",1.0224675550457e-06,6.64827518116346e-05,0.015379440940451,0.987736251228558,0.470113269190443,912,0.00102
