"outcome","pre2002_est","pre2002_p","nobs","post2002_est","post2002_p","pre2002_sig","post2002_sig"
"log_PFPeS",0.673497365625324,0.0244803092627566,16,0.935515796991327,0.0244803092627569,"*","*"
"log_PFOS",0.446225993752349,0.0260672340923759,841,-0.457571728820833,0.181288937369261,"*",""
"log_PFPeA",-0.273883159560544,0.154300398831268,921,-0.194471891398543,0.264978643300512,"",""
"log_PFHpA",-0.411135208405901,0.556416291121077,238,-0.726367966882512,0.35138568519588,"",""
"log_PFOA",0.237962212636165,0.482664454537253,696,-0.291789886079611,0.370231583982434,"",""
"log_PFHxA",-0.143762190069682,0.37529740123997,790,-0.106723867058348,0.49609344285357,"",""
"log_PFHxS",0.637663080439499,0.121976287202887,676,0.290532551920064,0.574938222860602,"",""
"log_6:2 FTS",10.0964369561002,0.578959233146463,24,7.80344444287879,0.578959233146485,"",""
"log_PFBS",-0.0388117086043367,0.870865544619466,912,-0.139959014144807,0.712554246738396,"",""
"log_PFBA",0.0699482415820951,0.737666490974543,567,0.0612819915890101,0.747369888795786,"",""
"log_PFNA",-0.025285713384677,0.868753883839482,19,-0.0352112669736016,0.868753883839482,"",""
