"outcome","exposure","spec","estimate","p.value","r2","nobs","expected","verdict","sig"
"PFOS","nearest_distance_m","simple",5.89e-08,0.0165,0.007,845,"neg","CONTRADICTS (sig, wrong sign)","**"
"PFOS","nearest_distance_m","plus_cov",8.34e-08,0.0239,0.199,845,"neg","CONTRADICTS (sig, wrong sign)","**"
"PFOA","nearest_distance_m","simple",4.66e-09,0.906,0,700,"neg","no/▼ support (wrong sign, n.s.)",""
"PFOA","nearest_distance_m","plus_cov",-1.44e-08,0.738,0.215,700,"neg","weak support (expected sign, n.s.)",""
"PFHxS","nearest_distance_m","simple",3.13e-08,0.0493,0.006,678,"neg","CONTRADICTS (sig, wrong sign)","**"
"PFHxS","nearest_distance_m","plus_cov",3.4e-08,0.348,0.185,678,"neg","no/▼ support (wrong sign, n.s.)",""
"PFBS","nearest_distance_m","simple",-2.26e-08,0.401,0.001,916,"neg","weak support (expected sign, n.s.)",""
"PFBS","nearest_distance_m","plus_cov",-8.83e-08,0.0244,0.175,916,"neg","SUPPORTS  (sig, expected sign)","**"
"PFHxA","nearest_distance_m","simple",-7.86e-10,0.965,0,794,"neg","weak support (expected sign, n.s.)",""
"PFHxA","nearest_distance_m","plus_cov",1.18e-08,0.692,0.175,794,"neg","no/▼ support (wrong sign, n.s.)",""
"PFPeA","nearest_distance_m","simple",4.79e-09,0.806,0,925,"neg","no/▼ support (wrong sign, n.s.)",""
"PFPeA","nearest_distance_m","plus_cov",-1.95e-08,0.526,0.191,925,"neg","weak support (expected sign, n.s.)",""
"PFBA","nearest_distance_m","simple",1.52e-08,0.865,0,572,"neg","no/▼ support (wrong sign, n.s.)",""
"PFBA","nearest_distance_m","plus_cov",3.43e-08,0.664,0.503,572,"neg","no/▼ support (wrong sign, n.s.)",""
"PFHpA","nearest_distance_m","simple",4.43e-08,0.0721,0.014,240,"neg","no/▼ support (wrong sign, n.s.)","*"
"PFHpA","nearest_distance_m","plus_cov",1.31e-07,0.00905,0.276,240,"neg","CONTRADICTS (sig, wrong sign)","***"
"PFOS","nearest_distance_pre2002_m","simple",5.7e-08,0.017,0.007,845,"neg","CONTRADICTS (sig, wrong sign)","**"
"PFOS","nearest_distance_pre2002_m","plus_cov",8.07e-08,0.0247,0.199,845,"neg","CONTRADICTS (sig, wrong sign)","**"
"PFOA","nearest_distance_pre2002_m","simple",4.54e-09,0.906,0,700,"neg","no/▼ support (wrong sign, n.s.)",""
"PFOA","nearest_distance_pre2002_m","plus_cov",-1.39e-08,0.74,0.215,700,"neg","weak support (expected sign, n.s.)",""
"PFHxS","nearest_distance_pre2002_m","simple",3.04e-08,0.0496,0.006,678,"neg","CONTRADICTS (sig, wrong sign)","**"
"PFHxS","nearest_distance_pre2002_m","plus_cov",3.33e-08,0.345,0.185,678,"neg","no/▼ support (wrong sign, n.s.)",""
"PFBS","nearest_distance_pre2002_m","simple",-2.25e-08,0.39,0.001,916,"neg","weak support (expected sign, n.s.)",""
"PFBS","nearest_distance_pre2002_m","plus_cov",-8.7e-08,0.0226,0.175,916,"neg","SUPPORTS  (sig, expected sign)","**"
"PFHxA","nearest_distance_pre2002_m","simple",-7.81e-10,0.964,0,794,"neg","weak support (expected sign, n.s.)",""
"PFHxA","nearest_distance_pre2002_m","plus_cov",1.13e-08,0.697,0.175,794,"neg","no/▼ support (wrong sign, n.s.)",""
"PFPeA","nearest_distance_pre2002_m","simple",4.6e-09,0.809,0,925,"neg","no/▼ support (wrong sign, n.s.)",""
"PFPeA","nearest_distance_pre2002_m","plus_cov",-1.91e-08,0.523,0.191,925,"neg","weak support (expected sign, n.s.)",""
"PFBA","nearest_distance_pre2002_m","simple",1.21e-08,0.889,0,572,"neg","no/▼ support (wrong sign, n.s.)",""
"PFBA","nearest_distance_pre2002_m","plus_cov",3.23e-08,0.673,0.503,572,"neg","no/▼ support (wrong sign, n.s.)",""
"PFHpA","nearest_distance_pre2002_m","simple",4.29e-08,0.0732,0.013,240,"neg","no/▼ support (wrong sign, n.s.)","*"
"PFHpA","nearest_distance_pre2002_m","plus_cov",1.26e-07,0.00943,0.276,240,"neg","CONTRADICTS (sig, wrong sign)","***"
"PFOS","idw_exposure_10km","simple",0.00659,0.441,0.001,845,"pos","weak support (expected sign, n.s.)",""
"PFOS","idw_exposure_10km","plus_cov",0.00138,0.897,0.193,845,"pos","weak support (expected sign, n.s.)",""
"PFOA","idw_exposure_10km","simple",-0.00964,0.188,0.002,700,"pos","no/▼ support (wrong sign, n.s.)",""
"PFOA","idw_exposure_10km","plus_cov",-0.00298,0.738,0.215,700,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxS","idw_exposure_10km","simple",-0.0225,0.00695,0.011,678,"pos","CONTRADICTS (sig, wrong sign)","***"
"PFHxS","idw_exposure_10km","plus_cov",-0.0254,0.0257,0.191,678,"pos","CONTRADICTS (sig, wrong sign)","**"
"PFBS","idw_exposure_10km","simple",-0.0416,1.32e-05,0.021,916,"pos","CONTRADICTS (sig, wrong sign)","***"
"PFBS","idw_exposure_10km","plus_cov",-0.0236,0.0501,0.174,916,"pos","no/▼ support (wrong sign, n.s.)","*"
"PFHxA","idw_exposure_10km","simple",-0.00864,0.28,0.001,794,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxA","idw_exposure_10km","plus_cov",-0.00796,0.428,0.176,794,"pos","no/▼ support (wrong sign, n.s.)",""
"PFPeA","idw_exposure_10km","simple",-0.00405,0.631,0,925,"pos","no/▼ support (wrong sign, n.s.)",""
"PFPeA","idw_exposure_10km","plus_cov",-0.00719,0.481,0.191,925,"pos","no/▼ support (wrong sign, n.s.)",""
"PFBA","idw_exposure_10km","simple",0.0135,0.347,0.002,572,"pos","weak support (expected sign, n.s.)",""
"PFBA","idw_exposure_10km","plus_cov",-0.00713,0.61,0.504,572,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHpA","idw_exposure_10km","simple",-0.00275,0.811,0,240,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHpA","idw_exposure_10km","plus_cov",0.00614,0.731,0.245,240,"pos","weak support (expected sign, n.s.)",""
"PFOS","idw_pre2002_exposure_10km","simple",0.0128,0.145,0.003,845,"pos","weak support (expected sign, n.s.)",""
"PFOS","idw_pre2002_exposure_10km","plus_cov",0.00831,0.466,0.194,845,"pos","weak support (expected sign, n.s.)",""
"PFOA","idw_pre2002_exposure_10km","simple",-0.00362,0.63,0,700,"pos","no/▼ support (wrong sign, n.s.)",""
"PFOA","idw_pre2002_exposure_10km","plus_cov",-0.00126,0.893,0.215,700,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxS","idw_pre2002_exposure_10km","simple",-0.021,0.0172,0.008,678,"pos","CONTRADICTS (sig, wrong sign)","**"
"PFHxS","idw_pre2002_exposure_10km","plus_cov",-0.0289,0.0162,0.192,678,"pos","CONTRADICTS (sig, wrong sign)","**"
"PFBS","idw_pre2002_exposure_10km","simple",-0.0366,0.000487,0.013,916,"pos","CONTRADICTS (sig, wrong sign)","***"
"PFBS","idw_pre2002_exposure_10km","plus_cov",-0.0177,0.189,0.171,916,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxA","idw_pre2002_exposure_10km","simple",-0.0068,0.432,0.001,794,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxA","idw_pre2002_exposure_10km","plus_cov",-0.00414,0.713,0.175,794,"pos","no/▼ support (wrong sign, n.s.)",""
"PFPeA","idw_pre2002_exposure_10km","simple",-0.00145,0.872,0,925,"pos","no/▼ support (wrong sign, n.s.)",""
"PFPeA","idw_pre2002_exposure_10km","plus_cov",-0.006,0.595,0.191,925,"pos","no/▼ support (wrong sign, n.s.)",""
"PFBA","idw_pre2002_exposure_10km","simple",0.0273,0.0631,0.006,572,"pos","weak support (expected sign, n.s.)","*"
"PFBA","idw_pre2002_exposure_10km","plus_cov",-0.000353,0.98,0.503,572,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHpA","idw_pre2002_exposure_10km","simple",0.00308,0.808,0,240,"pos","weak support (expected sign, n.s.)",""
"PFHpA","idw_pre2002_exposure_10km","plus_cov",0.0193,0.332,0.249,240,"pos","weak support (expected sign, n.s.)",""
"PFOS","idw_tierweighted_10km","simple",0.0177,0.154,0.002,845,"pos","weak support (expected sign, n.s.)",""
"PFOS","idw_tierweighted_10km","plus_cov",0.0194,0.208,0.195,845,"pos","weak support (expected sign, n.s.)",""
"PFOA","idw_tierweighted_10km","simple",-0.00953,0.35,0.001,700,"pos","no/▼ support (wrong sign, n.s.)",""
"PFOA","idw_tierweighted_10km","plus_cov",0.000306,0.98,0.215,700,"pos","weak support (expected sign, n.s.)",""
"PFHxS","idw_tierweighted_10km","simple",-0.0282,0.0188,0.008,678,"pos","CONTRADICTS (sig, wrong sign)","**"
"PFHxS","idw_tierweighted_10km","plus_cov",-0.0156,0.338,0.185,678,"pos","no/▼ support (wrong sign, n.s.)",""
"PFBS","idw_tierweighted_10km","simple",-0.0403,0.00316,0.009,916,"pos","CONTRADICTS (sig, wrong sign)","***"
"PFBS","idw_tierweighted_10km","plus_cov",-0.0204,0.229,0.171,916,"pos","no/▼ support (wrong sign, n.s.)",""
"PFHxA","idw_tierweighted_10km","simple",0.000825,0.942,0,794,"pos","weak support (expected sign, n.s.)",""
"PFHxA","idw_tierweighted_10km","plus_cov",0.00145,0.919,0.175,794,"pos","weak support (expected sign, n.s.)",""
"PFPeA","idw_tierweighted_10km","simple",0.00741,0.539,0,925,"pos","weak support (expected sign, n.s.)",""
"PFPeA","idw_tierweighted_10km","plus_cov",0.0042,0.774,0.191,925,"pos","weak support (expected sign, n.s.)",""
"PFBA","idw_tierweighted_10km","simple",-0.000259,0.99,0,572,"pos","no/▼ support (wrong sign, n.s.)",""
