"compound","exposure","spec","margin","estimate","std.error","p.value","nobs","detect_rate","mrl_ug_l","expect","radius_km","sig","supports","contradicts"
"PFBA","idw__all_equal__10km","cov","detect",0.00750494477600385,0.00423561771744372,0.076584640514221,1894,0.290918690601901,0.00505,"pos",10,"*",FALSE,FALSE
"PFBA","idw__all_equal__10km","cov","intensive",-0.00713190119049735,0.0139881996086838,0.610390991058046,551,0.290918690601901,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__all_equal__10km","cov","tobit",0.0120934649975684,0.0159946756021311,0.449593335983299,1894,0.290918690601901,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__all_equal__10km","raw","detect",0.0167247532472518,0.00389181787493517,1.80971479928931e-05,2032,0.281496062992126,0.00505,"pos",10,"***",TRUE,FALSE
"PFBA","idw__all_equal__10km","raw","intensive",0.0134618131939337,0.014299656169844,0.346894524822472,572,0.281496062992126,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__all_equal__10km","raw","tobit",0.0752452717611624,0.0176121977836588,1.93433587438034e-05,2032,0.281496062992126,0.00505,"pos",10,"***",TRUE,FALSE
"PFBA","idw__all_equal__25km","cov","detect",0.00774666512621504,0.00449518567692937,0.0850001115235382,1894,0.290918690601901,0.00505,"pos",25,"*",FALSE,FALSE
"PFBA","idw__all_equal__25km","cov","intensive",0.000283549903667309,0.0162078974399243,0.986049378843654,551,0.290918690601901,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__all_equal__25km","cov","tobit",0.0165728348737882,0.01727786592366,0.33746074423532,1894,0.290918690601901,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__all_equal__25km","raw","detect",0.0159428929837831,0.00405506779768047,8.72135694582746e-05,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__all_equal__25km","raw","intensive",0.0355494604970046,0.0157998608755849,0.0248304678628619,572,0.281496062992126,0.00505,"pos",25,"**",TRUE,FALSE
"PFBA","idw__all_equal__25km","raw","tobit",0.0843617508827591,0.0189355987161424,8.38176746462428e-06,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__all_equal__5km","cov","detect",0.00924893809734904,0.0048643009749109,0.057409046697046,1894,0.290918690601901,0.00505,"pos",5,"*",FALSE,FALSE
"PFBA","idw__all_equal__5km","cov","intensive",-0.0218671560503636,0.0150070178754688,0.145737465209072,551,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__all_equal__5km","cov","tobit",0.008196168543047,0.0180571469470119,0.649899625913528,1894,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__all_equal__5km","raw","detect",0.0210327478772531,0.00453043973348675,3.66164281490935e-06,2032,0.281496062992126,0.00505,"pos",5,"***",TRUE,FALSE
"PFBA","idw__all_equal__5km","raw","intensive",-0.013357866860601,0.0157743272636098,0.397456110483474,572,0.281496062992126,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__all_equal__5km","raw","tobit",0.0770273139423003,0.0201371347207452,0.000130698993194827,2032,0.281496062992126,0.00505,"pos",5,"***",TRUE,FALSE
"PFBA","idw__post2002__10km","cov","detect",0.00707253288019381,0.00467794565987912,0.130736281097631,1894,0.290918690601901,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__post2002__10km","cov","intensive",-0.020802825697679,0.0155310357689119,0.181065335782333,551,0.290918690601901,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__post2002__10km","cov","tobit",-0.000545812254751555,0.0176374574120804,0.975312446626073,1894,0.290918690601901,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__post2002__10km","raw","detect",0.0181539161581183,0.00426434433711243,2.16494848464165e-05,2032,0.281496062992126,0.00505,"pos",10,"***",TRUE,FALSE
"PFBA","idw__post2002__10km","raw","intensive",-0.0120428448143225,0.0156219975874785,0.441091435901259,572,0.281496062992126,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__post2002__10km","raw","tobit",0.0689730062567359,0.0192763191537955,0.000346072972836604,2032,0.281496062992126,0.00505,"pos",10,"***",TRUE,FALSE
"PFBA","idw__post2002__25km","cov","detect",0.0081807023499183,0.00446411735479681,0.0670337967126272,1894,0.290918690601901,0.00505,"pos",25,"*",FALSE,FALSE
"PFBA","idw__post2002__25km","cov","intensive",-0.00722343469783343,0.0161359265109942,0.65460024249189,551,0.290918690601901,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__post2002__25km","cov","tobit",0.0128570440488856,0.017092638761963,0.451932159525474,1894,0.290918690601901,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__post2002__25km","raw","detect",0.0167080940791011,0.00404120140403302,3.70307099147313e-05,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__post2002__25km","raw","intensive",0.0179507099217632,0.0157806399878414,0.255801115213769,572,0.281496062992126,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__post2002__25km","raw","tobit",0.0795775696408575,0.0187969420527381,2.30043226203458e-05,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__post2002__5km","cov","detect",0.00798960535734475,0.00601422110872837,0.184195764935783,1894,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__post2002__5km","cov","intensive",-0.044311455677301,0.0190288849015272,0.0202941417492984,551,0.290918690601901,0.00505,"pos",5,"**",FALSE,TRUE
"PFBA","idw__post2002__5km","cov","tobit",-0.0141656147313058,0.0224982538116337,0.528935551083734,1894,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__post2002__5km","raw","detect",0.0239365648938107,0.00554310377163169,1.64839874129168e-05,2032,0.281496062992126,0.00505,"pos",5,"***",TRUE,FALSE
"PFBA","idw__post2002__5km","raw","intensive",-0.051358378213508,0.0192992482638232,0.00800670585797139,572,0.281496062992126,0.00505,"pos",5,"***",FALSE,TRUE
"PFBA","idw__post2002__5km","raw","tobit",0.0701011930920463,0.0246861497866602,0.00451563595841995,2032,0.281496062992126,0.00505,"pos",5,"***",TRUE,FALSE
"PFBA","idw__pre2002__10km","cov","detect",0.0111548212245808,0.00455372424743896,0.0143952562687604,1894,0.290918690601901,0.00505,"pos",10,"**",TRUE,FALSE
"PFBA","idw__pre2002__10km","cov","intensive",-0.000353329487604431,0.014437299400493,0.980485231724134,551,0.290918690601901,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__pre2002__10km","cov","tobit",0.0306490115153599,0.0170223384311745,0.0717790251472657,1894,0.290918690601901,0.00505,"pos",10,"*",FALSE,FALSE
"PFBA","idw__pre2002__10km","raw","detect",0.0228127423124038,0.00404363110612265,1.92033930442061e-08,2032,0.281496062992126,0.00505,"pos",10,"***",TRUE,FALSE
"PFBA","idw__pre2002__10km","raw","intensive",0.0272712002472926,0.014643902486239,0.0630764709188477,572,0.281496062992126,0.00505,"pos",10,"*",FALSE,FALSE
"PFBA","idw__pre2002__10km","raw","tobit",0.104831837557793,0.0180835191161652,6.74743785109307e-09,2032,0.281496062992126,0.00505,"pos",10,"***",TRUE,FALSE
"PFBA","idw__pre2002__25km","cov","detect",0.0113900548549319,0.00424144022335108,0.00730981016875722,1894,0.290918690601901,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__pre2002__25km","cov","intensive",0.00417758009005555,0.0147320864067677,0.776862585902667,551,0.290918690601901,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__pre2002__25km","cov","tobit",0.0357807201081892,0.0162270384430755,0.0274536606205065,1894,0.290918690601901,0.00505,"pos",25,"**",TRUE,FALSE
"PFBA","idw__pre2002__25km","raw","detect",0.021203583797522,0.00372205114049715,1.39928484856801e-08,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__pre2002__25km","raw","intensive",0.0465665305534809,0.0143026710134056,0.00119786732859664,572,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__pre2002__25km","raw","tobit",0.110073454898688,0.0172091626535552,1.59278688519325e-10,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__pre2002__5km","cov","detect",0.0137034775689812,0.0058295906033791,0.0188458496028341,1894,0.290918690601901,0.00505,"pos",5,"**",TRUE,FALSE
"PFBA","idw__pre2002__5km","cov","intensive",-0.0142050894553942,0.0173450433254565,0.413211010887718,551,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__pre2002__5km","cov","tobit",0.0281387750368986,0.0213811751723237,0.188156014143475,1894,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__pre2002__5km","raw","detect",0.028633704539601,0.00527516701883256,6.37996450823611e-08,2032,0.281496062992126,0.00505,"pos",5,"***",TRUE,FALSE
"PFBA","idw__pre2002__5km","raw","intensive",0.00108763053057609,0.0181152435355918,0.952145202783959,572,0.281496062992126,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__pre2002__5km","raw","tobit",0.112209596425249,0.0231546554520818,1.25916982243974e-06,2032,0.281496062992126,0.00505,"pos",5,"***",TRUE,FALSE
"PFBA","idw__tierweighted__10km","cov","detect",0.013172851122083,0.00637616710101042,0.038974689906126,1894,0.290918690601901,0.00505,"pos",10,"**",TRUE,FALSE
"PFBA","idw__tierweighted__10km","cov","intensive",-0.0151379266724188,0.0218841489672622,0.489442620755666,551,0.290918690601901,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__tierweighted__10km","cov","tobit",0.0309801913970298,0.024419774297545,0.204565269186016,1894,0.290918690601901,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__tierweighted__10km","raw","detect",0.0207106113661428,0.00580662612813154,0.000369849213257414,2032,0.281496062992126,0.00505,"pos",10,"***",TRUE,FALSE
"PFBA","idw__tierweighted__10km","raw","intensive",-0.000259221176078297,0.0216155508462825,0.990435917299621,572,0.281496062992126,0.00505,"pos",10,"",FALSE,FALSE
"PFBA","idw__tierweighted__10km","raw","tobit",0.0856751110391145,0.0262470861253139,0.00109782910131188,2032,0.281496062992126,0.00505,"pos",10,"***",TRUE,FALSE
"PFBA","idw__tierweighted__25km","cov","detect",0.0131246390206783,0.00620316991172813,0.0344980649191018,1894,0.290918690601901,0.00505,"pos",25,"**",TRUE,FALSE
"PFBA","idw__tierweighted__25km","cov","intensive",-0.011947959957825,0.021653146827311,0.581351053891728,551,0.290918690601901,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__tierweighted__25km","cov","tobit",0.0341571873346755,0.0238209777672046,0.151597359455045,1894,0.290918690601901,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__tierweighted__25km","raw","detect",0.0169469602526094,0.00565261142023699,0.00274988031260119,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__tierweighted__25km","raw","intensive",-0.000895574765288078,0.0214614032778828,0.966728907309371,572,0.281496062992126,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__tierweighted__25km","raw","tobit",0.0710635508632908,0.0258264183146682,0.00593078672366072,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__tierweighted__5km","cov","detect",0.016120754792642,0.00766496602254255,0.0355879337797161,1894,0.290918690601901,0.00505,"pos",5,"**",TRUE,FALSE
"PFBA","idw__tierweighted__5km","cov","intensive",-0.0353128411268995,0.0254880820717144,0.166556509038021,551,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__tierweighted__5km","cov","tobit",0.0301344771076259,0.0291813644718821,0.301762248378126,1894,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__tierweighted__5km","raw","detect",0.0279004009036417,0.00702365870826338,7.36515211196887e-05,2032,0.281496062992126,0.00505,"pos",5,"***",TRUE,FALSE
