"compound","exposure","spec","margin","bucket","estimate","std.error","p.value","nobs","n_systems","detect_rate","sig"
"PFOS","idw__ind_all_equal__5km","raw","detect","A_anydetect",0.00921289457682671,0.00465687958538747,0.0478902807630775,6314,3500,0.360785555907507,"**"
"PFOS","idw__ind_all_equal__5km","raw","tobit","A_anydetect",0.0229260744779751,0.0125188069172732,0.0670512094535043,6314,3500,0.360785555907507,"*"
"PFOS","idw__ind_all_equal__5km","cov","detect","A_anydetect",0.00802999779259649,0.00450996416159687,0.0749939299384051,6314,3500,0.360785555907507,"*"
"PFOS","idw__ind_all_equal__5km","cov","tobit","A_anydetect",0.0197276484336291,0.0119986461940655,0.100143943371323,6314,3500,0.360785555907507,""
"PFOA","idw__ind_all_equal__5km","raw","detect","A_anydetect",0.0259189165930505,0.00466181631933204,2.70034110286471e-08,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_all_equal__5km","raw","tobit","A_anydetect",0.0517587413138706,0.00966719972887613,8.60036037479075e-08,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_all_equal__5km","cov","detect","A_anydetect",0.0132430049692667,0.00428588990112319,0.00200218585394534,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_all_equal__5km","cov","tobit","A_anydetect",0.0244722221913054,0.00883484021496971,0.00560618487235445,6314,3500,0.354450427621159,"***"
"PFHxS","idw__ind_all_equal__5km","raw","detect","A_anydetect",0.00992430628029076,0.0048315174126129,0.0399682900651045,6314,3500,0.276369971491923,"**"
"PFHxS","idw__ind_all_equal__5km","raw","tobit","A_anydetect",0.0123045564325377,0.0140584593771084,0.381442154851943,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_all_equal__5km","cov","detect","A_anydetect",0.00915551877248472,0.00450297654611824,0.0420308216357174,6314,3500,0.276369971491923,"**"
"PFHxS","idw__ind_all_equal__5km","cov","tobit","A_anydetect",0.00767966138040323,0.0118973465984872,0.518607348396888,6314,3500,0.276369971491923,""
"PFBS","idw__ind_all_equal__5km","raw","detect","A_anydetect",-0.0144018777467473,0.00481852562310988,0.00280024351813337,6314,3500,0.452011403230915,"***"
"PFBS","idw__ind_all_equal__5km","raw","tobit","A_anydetect",-0.0411117417352187,0.0100582333749195,4.36287196481655e-05,6314,3500,0.452011403230915,"***"
"PFBS","idw__ind_all_equal__5km","cov","detect","A_anydetect",-0.0107005959997596,0.00461201999013792,0.0203325553794256,6314,3500,0.452011403230915,"**"
"PFBS","idw__ind_all_equal__5km","cov","tobit","A_anydetect",-0.0361651574458867,0.00935907129824265,0.000111461967110618,6314,3500,0.452011403230915,"***"
"PFHxA","idw__ind_all_equal__5km","raw","detect","A_anydetect",0.0234895057166168,0.00423604787309428,2.93708278315915e-08,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_all_equal__5km","raw","tobit","A_anydetect",0.0295101200127236,0.0076360077473058,0.000111271129737164,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_all_equal__5km","cov","detect","A_anydetect",0.0213615595502389,0.00426558917706913,5.50327710554062e-07,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_all_equal__5km","cov","tobit","A_anydetect",0.0190209598572535,0.00764579731080638,0.0128548033403573,6314,3500,0.465473550839405,"**"
"PFPeA","idw__ind_all_equal__5km","raw","detect","A_anydetect",0.0246439782263436,0.00444093054873787,2.8684433964157e-08,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_all_equal__5km","raw","tobit","A_anydetect",0.0368835365222365,0.0086809534899943,2.14929590786117e-05,6314,3500,0.541019955654102,"***"
