"term","estimate","std.error","p.value","beta_perSD","compound","nobs","model"
"idw__ind_all_equal__10km",0.0670438235375427,0.00810932853098845,1.36804327956504e-16,0.170450129039264,"PFOA",26223,"real PFAS-industry alone"
"idw_placebo_10km",0.0613131393416649,0.00931134611678073,4.55568111224574e-11,0.125334996123304,"PFOA",26223,"placebo alone"
"idw__ind_all_equal__10km",0.0658377786606259,0.0118736017012416,2.94144219380497e-08,0.167383918103629,"PFOA",26223,"joint"
"idw_placebo_10km",0.00188926000154255,0.0136916025376787,0.890250874037821,0.00386198451933351,"PFOA",26223,"joint"
"idw__ind_all_equal__10km",0.0700524717974807,0.011104979431323,2.82292618877431e-10,0.178099222678039,"PFOS",26223,"real PFAS-industry alone"
"idw_placebo_10km",0.0802515928888554,0.0123802896694085,9.03908678698054e-11,0.164048574116618,"PFOS",26223,"placebo alone"
"idw__ind_all_equal__10km",0.0444017978477243,0.0147231092325785,0.00256311152117193,0.112885748058237,"PFOS",26223,"joint"
"idw_placebo_10km",0.040103089081747,0.0163718004658496,0.014304588207231,0.0819778691576093,"PFOS",26223,"joint"
"idw__ind_tierweighted__10km",0.059128695293516,0.0148332759991867,6.71343853950024e-05,0.100844962162534,"PFOA",26223,"joint (tierweighted vs placebo)"
"idw_placebo_10km",0.0287629514246126,0.0125780238711242,0.0222096981870969,0.058796604512613,"PFOA",26223,"joint (tierweighted vs placebo)"
"idw__ind_tierweighted__10km",0.0470684398336017,0.0194116875464923,0.0153190395336742,0.0802759981512666,"PFOS",26223,"joint (tierweighted vs placebo)"
"idw_placebo_10km",0.0542039269372901,0.0155221109471944,0.0004793355174499,0.110802497564116,"PFOS",26223,"joint (tierweighted vs placebo)"
