"term","estimate","std.error","p.value","beta_perSD","compound","nobs","model"
"idw__mil_milbase__10km",0.179674570187711,0.0554163652995795,0.00118583486724733,0.0893446409972562,"PFOS",26223,"milbase alone"
"idw_placebo_10km",0.0802515928888554,0.0123802896694085,9.03908678698054e-11,0.164048574116618,"PFOS",26223,"placebo alone"
"idw__mil_milbase__10km",0.123533547399921,0.0576841435299745,0.032229613399259,0.0614280609216586,"PFOS",26223,"milbase + placebo"
"idw_placebo_10km",0.0734591224609114,0.0125659930375311,5.03936948202465e-09,0.150163552669421,"PFOS",26223,"milbase + placebo"
"idw__mil_milbase__10km",0.111012619023772,0.0586990717360594,0.0585955268890485,0.0552019274763371,"PFOS",26223,"milbase + placebo + industry"
"idw_placebo_10km",0.0375637333516023,0.016371004871501,0.0217601736112245,0.0767869729808564,"PFOS",26223,"milbase + placebo + industry"
"idw__ind_all_equal__10km",0.0404342052092419,0.0149886344727747,0.0069829201499769,0.102798664095523,"PFOS",26223,"milbase + placebo + industry"
"idw__mil_milbase__10km",0.163446026524838,0.0557638928899249,0.00337832674065558,0.081276392601982,"PFHxS",26222,"milbase alone"
"idw_placebo_10km",0.05947416735613,0.0130932521464801,5.56299037143494e-06,0.121573384987265,"PFHxS",26222,"placebo alone"
"idw__mil_milbase__10km",0.126693428125541,0.0612332400067153,0.0385432447086693,0.0630005208652635,"PFHxS",26222,"milbase + placebo"
"idw_placebo_10km",0.0526055384920225,0.0140904707606182,0.000188902901072293,0.10753296208852,"PFHxS",26222,"milbase + placebo"
"idw__mil_milbase__10km",0.117538308786023,0.0632190442757942,0.0629955188958573,0.0584479778051631,"PFHxS",26222,"milbase + placebo + industry"
"idw_placebo_10km",0.0192455002376406,0.018122336616048,0.28824623784256,0.0393404517233988,"PFHxS",26222,"milbase + placebo + industry"
"idw__ind_all_equal__10km",0.0371483092462475,0.0173811342482914,0.0325754179933019,0.0944423470944851,"PFHxS",26222,"milbase + placebo + industry"
"idw__mil_milbase__10km",0.109837747251764,0.0361356958353323,0.00236899373931873,0.0546177129345787,"PFOA",26223,"milbase alone"
"idw_placebo_10km",0.0613131393416649,0.00931134611678073,4.55568111224574e-11,0.125334996123304,"PFOA",26223,"placebo alone"
"idw__mil_milbase__10km",0.0649136703715331,0.0370488001278838,0.079754444143941,0.032278850418842,"PFOA",26223,"milbase + placebo"
"idw_placebo_10km",0.0580077913548083,0.009386800535423,6.42157219328979e-10,0.11857827510776,"PFOA",26223,"milbase + placebo"
"idw__mil_milbase__10km",0.042345079285111,0.036838544600352,0.250359126644253,0.0210564349911959,"PFOA",26223,"milbase + placebo + industry"
"idw_placebo_10km",0.00106285902828884,0.0137219819051663,0.938260259763251,0.00217267348598599,"PFOA",26223,"milbase + placebo + industry"
"idw__ind_all_equal__10km",0.0643395966697953,0.0118719816918427,5.97830750948186e-08,0.163574986867504,"PFOA",26223,"milbase + placebo + industry"
"idw__mil_milbase__10km",0.0269239051969959,0.0403363630218096,0.504462578988253,0.0133881307830967,"PFBS",26223,"milbase alone"
"idw_placebo_10km",0.0302731090782127,0.00994504248706966,0.0023342395009283,0.0618836361944327,"PFBS",26223,"placebo alone"
"idw__mil_milbase__10km",0.0029592997598673,0.0421382434551427,0.94401190148791,0.00147153586827778,"PFBS",26223,"milbase + placebo"
"idw_placebo_10km",0.0301278678166524,0.0101641931136868,0.00303551857502658,0.0615867371422873,"PFBS",26223,"milbase + placebo"
"idw__mil_milbase__10km",-0.0133645073923603,0.0439927836022289,0.761288930747352,-0.00664560997044912,"PFBS",26223,"milbase + placebo + industry"
"idw_placebo_10km",-0.0136620114264706,0.0149331010223445,0.36025406938664,-0.0279275888913688,"PFBS",26223,"milbase + placebo + industry"
"idw__ind_all_equal__10km",0.0491851814929538,0.01307865896061,0.000169424621470035,0.125046873670608,"PFBS",26223,"milbase + placebo + industry"
