"term","est","perSD","p","compound","model","source"
"idw__mil_milsusp__10km",0.42,0.063,0.031,"PFOS","vs placebo","milsusp"
"idw_placebo_10km",0.075,0.15,1.1e-09,"PFOS","vs placebo","milsusp"
"idw__mil_milsusp__10km",0.41,0.061,0.043,"PFOS","vs placebo + industry","milsusp"
"idw_placebo_10km",0.036,0.074,0.026,"PFOS","vs placebo + industry","milsusp"
"idw__ind_all_equal__10km",0.043,0.11,0.0033,"PFOS","vs placebo + industry","milsusp"
"idw__mil_milsusp__10km",0.55,0.083,0.014,"PFHxS","vs placebo","milsusp"
"idw_placebo_10km",0.053,0.11,7e-05,"PFHxS","vs placebo","milsusp"
"idw__mil_milsusp__10km",0.54,0.081,0.019,"PFHxS","vs placebo + industry","milsusp"
"idw_placebo_10km",0.018,0.037,0.32,"PFHxS","vs placebo + industry","milsusp"
"idw__ind_all_equal__10km",0.039,0.099,0.019,"PFHxS","vs placebo + industry","milsusp"
"idw__mil_milfire__10km",0.13,0.038,0.18,"PFOS","vs placebo","milfire"
"idw_placebo_10km",0.075,0.15,3.3e-09,"PFOS","vs placebo","milfire"
"idw__mil_milfire__10km",0.11,0.031,0.28,"PFOS","vs placebo + industry","milfire"
"idw_placebo_10km",0.038,0.077,0.022,"PFOS","vs placebo + industry","milfire"
"idw__ind_all_equal__10km",0.042,0.11,0.0043,"PFOS","vs placebo + industry","milfire"
"idw__mil_milfire__10km",0.12,0.035,0.17,"PFHxS","vs placebo","milfire"
"idw_placebo_10km",0.055,0.11,7.7e-05,"PFHxS","vs placebo","milfire"
"idw__mil_milfire__10km",0.099,0.029,0.27,"PFHxS","vs placebo + industry","milfire"
"idw_placebo_10km",0.02,0.041,0.27,"PFHxS","vs placebo + industry","milfire"
"idw__ind_all_equal__10km",0.039,0.099,0.023,"PFHxS","vs placebo + industry","milfire"
"idw__mil_airport__10km",0.086,0.048,0.034,"PFOS","vs placebo","airport"
"idw_placebo_10km",0.068,0.14,2.9e-07,"PFOS","vs placebo","airport"
"idw__mil_airport__10km",0.055,0.031,0.21,"PFOS","vs placebo + industry","airport"
"idw_placebo_10km",0.037,0.077,0.022,"PFOS","vs placebo + industry","airport"
"idw__ind_all_equal__10km",0.039,0.099,0.014,"PFOS","vs placebo + industry","airport"
"idw__mil_airport__10km",0.17,0.098,8.5e-06,"PFHxS","vs placebo","airport"
"idw_placebo_10km",0.034,0.07,0.018,"PFHxS","vs placebo","airport"
"idw__mil_airport__10km",0.15,0.087,0.00036,"PFHxS","vs placebo + industry","airport"
"idw_placebo_10km",0.015,0.03,0.42,"PFHxS","vs placebo + industry","airport"
"idw__ind_all_equal__10km",0.024,0.062,0.18,"PFHxS","vs placebo + industry","airport"
