"term","estimate","std.error","p.value","nobs","compound","sector"
"idw_sect_wholesale_10km",0.165668165565711,0.0200244340538208,1.3030045348395e-16,26223,"PFOA","wholesale"
"idw_sect_wholesale_10km",0.184029112760767,0.0246343822671562,7.99409656376708e-14,26223,"PFOS","wholesale"
"idw_sect_waste_10km",0.0492486481052967,0.0130200538502028,0.000155246984879349,26223,"PFOA","waste"
"idw_sect_waste_10km",0.0876174951295791,0.0177309791683166,7.75269214668408e-07,26223,"PFOS","waste"
"idw_sect_petroleum_10km",0.123392481776326,0.0222803194919216,3.05626205702126e-08,26223,"PFOA","petroleum"
"idw_sect_petroleum_10km",0.150514922157728,0.0311431128698391,1.34485195926812e-06,26223,"PFOS","petroleum"
"idw_sect_metal_10km",0.051350277543508,0.00940104607021779,4.70302609547701e-08,26223,"PFOA","metal"
"idw_sect_metal_10km",0.0629137708966119,0.0131301755229541,1.65505407177371e-06,26223,"PFOS","metal"
"idw_sect_chemical_10km",0.0921452187539759,0.0107650939107776,1.13230509226225e-17,26223,"PFOA","chemical"
"idw_sect_chemical_10km",0.096924391245347,0.0141896420366026,8.45343586981084e-12,26223,"PFOS","chemical"
"idw_sect_textile_10km",0.3510093279852,0.0306975282591571,2.81316152864852e-30,26223,"PFOA","textile"
"idw_sect_textile_10km",0.316525525863783,0.0363719737387746,3.24775626395354e-18,26223,"PFOS","textile"
"idw_sect_paper_10km",0.342474329624435,0.0535107057420529,1.55266444977605e-10,26223,"PFOA","paper"
"idw_sect_paper_10km",0.402500902975283,0.0653015265566008,7.10515698832581e-10,26223,"PFOS","paper"
"idw_sect_electronics_10km",0.118837676261143,0.0147686441331287,8.51115065699189e-16,26223,"PFOA","electronics"
"idw_sect_electronics_10km",0.0824824268398465,0.0187008015137321,1.03067487950186e-05,26223,"PFOS","electronics"
"idw_sect_plastics_10km",0.300916447996224,0.0312496318676957,6.00560021998248e-22,26223,"PFOA","plastics"
"idw_sect_plastics_10km",0.275357110646051,0.0444802955474558,5.99579204851041e-10,26223,"PFOS","plastics"
"idw_sect_printing_10km",0.114171014673269,0.0139126146555403,2.28119260817367e-16,26223,"PFOA","printing"
"idw_sect_printing_10km",0.114323427400643,0.0179847516585671,2.06152165557009e-10,26223,"PFOS","printing"
