"compound","location_set","radius_km","spec","margin","estimate","std.error","p.value","nobs","detect_rate","mrl_ug_l","sig","supports"
"PFBA","airport",5,"cov","detect",0.110839986360904,0.0338356397174521,0.00107335342311903,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport",5,"cov","intensive",0.350209328889516,0.0961419157486407,0.00029937988339334,551,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport",5,"cov","tobit",0.563011272754201,0.114105085486281,8.05017678638394e-07,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport",5,"raw","detect",0.218622556293515,0.0342262389967622,2.08373653120979e-10,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport",5,"raw","intensive",0.803078440594577,0.105909933077088,1.38245555456183e-13,572,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport",5,"raw","tobit",1.15486580093611,0.135136993260394,1.27550103856183e-17,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport",10,"cov","detect",0.0978250762748061,0.0160009458688361,1.18885239063963e-09,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport",10,"cov","intensive",0.178851891649019,0.0458044001626696,0.000107920384153553,551,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport",10,"cov","tobit",0.376341077179364,0.0542045750879022,3.83924002178064e-12,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport",10,"raw","detect",0.169995501619836,0.0156542759174085,9.63054444578204e-27,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport",10,"raw","intensive",0.366710427624927,0.0499628862995876,7.41983278024295e-13,572,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport",10,"raw","tobit",0.766789323031426,0.0635499145333007,1.59831000952883e-33,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport",25,"cov","detect",0.0636338001977977,0.00715285506657299,1.36431459131405e-18,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport",25,"cov","intensive",0.0880154398822016,0.0226091053162244,0.000113123471747675,551,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport",25,"cov","tobit",0.226699632350722,0.025563041311541,7.42993724107528e-19,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport",25,"raw","detect",0.0968161192180868,0.00659303133708221,1.79313523731029e-46,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport",25,"raw","intensive",0.169879109341072,0.0226299898612475,2.34649536257062e-13,572,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport",25,"raw","tobit",0.428955026641327,0.0286828717899568,1.44279148791294e-50,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport+milbase",5,"cov","detect",0.0347544462895377,0.0285600809586211,0.223804687280163,1894,0.290918690601901,0.00505,"",FALSE
"PFBA","airport+milbase",5,"cov","intensive",0.299580432644974,0.0867568071817569,0.000603433613136709,551,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport+milbase",5,"cov","tobit",0.288629196308674,0.102648582017594,0.004926227063483,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport+milbase",5,"raw","detect",0.107600323655922,0.0280361644584431,0.000127880258283051,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport+milbase",5,"raw","intensive",0.615488733906952,0.0949252932963684,1.93838291545539e-10,572,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport+milbase",5,"raw","tobit",0.696301512925738,0.117128278350707,2.76833210453037e-09,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport+milbase",10,"cov","detect",0.0477981458539923,0.0136361313144974,0.000467243546801917,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport+milbase",10,"cov","intensive",0.147000649645329,0.0420536029987037,0.000517160257884796,551,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport+milbase",10,"cov","tobit",0.219119076934307,0.0488375879572468,7.23384902737221e-06,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport+milbase",10,"raw","detect",0.0973634733779512,0.0130439671307866,1.23591104392074e-13,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport+milbase",10,"raw","intensive",0.281844622492704,0.0456085040772147,1.22383105949981e-09,572,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport+milbase",10,"raw","tobit",0.498730862132372,0.0555910251422033,2.92695585173058e-19,2032,0.281496062992126,0.00505,"***",TRUE
"PFBA","airport+milbase",25,"cov","detect",0.0389916808307792,0.00688210465402147,1.6997786897121e-08,1894,0.290918690601901,0.00505,"***",TRUE
"PFBA","airport+milbase",25,"cov","intensive",0.0734564524160006,0.022509374515368,0.0011798078586528,551,0.290918690601901,0.00505,"***",TRUE
