"location_set","radius_km","spec","outcome","estimate","std.error","statistic","p.value","r2","nobs","n_points","sig","supports"
"airport",5,"cov","PFBA",0.350209328889516,0.0961419157486407,3.64262898406482,0.00029937988339334,0.516685983316734,572,774,"***",TRUE
"airport",5,"raw","PFBA",0.803078440594577,0.105909933077088,7.58265459397508,1.38245555456183e-13,0.0916286176638031,572,774,"***",TRUE
"airport",10,"cov","PFBA",0.178851891649019,0.0458044001626696,3.90468799970844,0.000107920384153553,0.518623997701437,572,774,"***",TRUE
"airport",10,"raw","PFBA",0.366710427624927,0.0499628862995876,7.33965658881389,7.41983278024295e-13,0.086348935814082,572,774,"***",TRUE
"airport",25,"cov","PFBA",0.0880154398822016,0.0226091053162244,3.89292007141217,0.000113123471747675,0.518534427703561,572,774,"***",TRUE
"airport",25,"raw","PFBA",0.169879109341072,0.0226299898612475,7.5068133208482,2.34649536257062e-13,0.0899689377229526,572,774,"***",TRUE
"airport+milbase",5,"cov","PFBA",0.299580432644974,0.0867568071817569,3.45310578358824,0.000603433613136709,0.515359320721909,572,1448,"***",TRUE
"airport+milbase",5,"raw","PFBA",0.615488733906952,0.0949252932963684,6.48392765019246,1.93838291545539e-10,0.0686903262118128,572,1448,"***",TRUE
"airport+milbase",10,"cov","PFBA",0.147000649645329,0.0420536029987037,3.49555422516021,0.000517160257884796,0.515650924151305,572,1448,"***",TRUE
"airport+milbase",10,"raw","PFBA",0.281844622492704,0.0456085040772147,6.17965066373465,1.22383105949981e-09,0.062789922123695,572,1448,"***",TRUE
"airport+milbase",25,"cov","PFBA",0.0734564524160006,0.022509374515368,3.26337155063323,0.0011798078586528,0.514095429865585,572,1448,"***",TRUE
"airport+milbase",25,"raw","PFBA",0.141672492004997,0.022467223323492,6.30574103284327,5.7535710637106e-10,0.0652096159607647,572,1448,"***",TRUE
"airport+milfire",5,"cov","PFBA",0.321206558196664,0.0923546206544053,3.47796954738877,0.000551397425714089,0.515529734990939,572,1041,"***",TRUE
"airport+milfire",5,"raw","PFBA",0.710092573256966,0.103387713011566,6.86824916204045,1.70540306176521e-11,0.0764337686199628,572,1041,"***",TRUE
"airport+milfire",10,"cov","PFBA",0.15801095946614,0.0444652334305421,3.55358439111681,0.000417760161694186,0.516054751792973,572,1041,"***",TRUE
"airport+milfire",10,"raw","PFBA",0.303268620691854,0.0492311198825859,6.16009998178258,1.37421481336173e-09,0.062418010591661,572,1041,"***",TRUE
"airport+milfire",25,"cov","PFBA",0.0776743525199376,0.0222908757414428,3.48458057103278,0.00053828466367509,0.515575231909722,572,1041,"***",TRUE
"airport+milfire",25,"raw","PFBA",0.142522440929057,0.0226225592863981,6.30001403133684,5.95585127992635e-10,0.0650989277926054,572,1041,"***",TRUE
"airport+milfire+milbase",5,"cov","PFBA",0.295425820444899,0.0856716539752257,3.44834967853346,0.000613895767558961,0.515326848468316,572,1581,"***",TRUE
"airport+milfire+milbase",5,"raw","PFBA",0.587050790124842,0.0937408065052771,6.26248921905525,7.46433229017719e-10,0.0643755134798678,572,1581,"***",TRUE
"airport+milfire+milbase",10,"cov","PFBA",0.141808712448698,0.0415433691463374,3.4135101548739,0.000695854323551371,0.515090215399926,572,1581,"***",TRUE
"airport+milfire+milbase",10,"raw","PFBA",0.258456584160386,0.0447795835688182,5.77175050686178,1.28908676581984e-08,0.0552169407516096,572,1581,"***",TRUE
"airport+milfire+milbase",25,"cov","PFBA",0.0710389797295631,0.0223895416517484,3.1728644040382,0.00160663745898827,0.513515485533018,572,1581,"***",TRUE
"airport+milfire+milbase",25,"raw","PFBA",0.132188766149742,0.0222254277764727,5.94763653051818,4.74774484676596e-09,0.0584338905813518,572,1581,"***",TRUE
"airport+milfire+milsusp",5,"cov","PFBA",0.302851373178765,0.0892208391909055,3.3944017555221,0.000745029706355928,0.514961352766502,572,1106,"***",TRUE
"airport+milfire+milsusp",5,"raw","PFBA",0.624100132150166,0.098509208166793,6.33544968804802,4.80741950687482e-10,0.0657849991832881,572,1106,"***",TRUE
"airport+milfire+milsusp",10,"cov","PFBA",0.14675721068114,0.0428749120821006,3.42291572283849,0.000672776438525737,0.515153884758867,572,1106,"***",TRUE
"airport+milfire+milsusp",10,"raw","PFBA",0.265091961539729,0.0473895430571932,5.59389148825082,3.45009728851349e-08,0.0520406751704996,572,1106,"***",TRUE
"airport+milfire+milsusp",25,"cov","PFBA",0.0742179626148245,0.0216680168067972,3.42523098798514,0.00066720612905545,0.515169581845088,572,1106,"***",TRUE
"airport+milfire+milsusp",25,"raw","PFBA",0.130599733991199,0.022172520838713,5.89016174305146,6.59835164114807e-09,0.0573744820550882,572,1106,"***",TRUE
"airport+milfire+milsusp+milbase",5,"cov","PFBA",0.300845082930941,0.0833295219354843,3.610306118927,0.000338138313032671,0.51645523359112,572,1625,"***",TRUE
"airport+milfire+milsusp+milbase",5,"raw","PFBA",0.550822188911892,0.0891034338306772,6.18182897371404,1.20810656284843e-09,0.0628314146573982,572,1625,"***",TRUE
"airport+milfire+milsusp+milbase",10,"cov","PFBA",0.146777078652835,0.0406644744456274,3.60946700169682,0.00033920459784515,0.516449267685267,572,1625,"***",TRUE
