"compound","exposure","spec","margin","bucket","estimate","std.error","p.value","nobs","n_systems","detect_rate","sig"
"PFOS","idw__mil_airport__5km","raw","detect","A_anydetect",0.0379074964572128,0.0287156868325197,0.186802582928667,6314,3500,0.360785555907507,""
"PFOS","idw__mil_airport__5km","raw","tobit","A_anydetect",0.0912027650358046,0.0684673851041014,0.182839993026493,6314,3500,0.360785555907507,""
"PFOS","idw__mil_airport__5km","cov","detect","A_anydetect",0.0326341117703669,0.028903568121233,0.258868887656098,6314,3500,0.360785555907507,""
"PFOS","idw__mil_airport__5km","cov","tobit","A_anydetect",0.0728864685503655,0.0673657609742998,0.279274195251107,6314,3500,0.360785555907507,""
"PFOA","idw__mil_airport__5km","raw","detect","A_anydetect",0.0359366483127454,0.0300720934966503,0.232080578427898,6314,3500,0.354450427621159,""
"PFOA","idw__mil_airport__5km","raw","tobit","A_anydetect",0.069144063988994,0.0573884267370833,0.228263783635747,6314,3500,0.354450427621159,""
"PFOA","idw__mil_airport__5km","cov","detect","A_anydetect",-0.0165684592356974,0.0270142076353822,0.539662192061083,6314,3500,0.354450427621159,""
"PFOA","idw__mil_airport__5km","cov","tobit","A_anydetect",-0.0350977010965562,0.0540122437266517,0.515814898876536,6314,3500,0.354450427621159,""
"PFHxS","idw__mil_airport__5km","raw","detect","A_anydetect",0.124898863029825,0.0333109767106696,0.000177201159470016,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_airport__5km","raw","tobit","A_anydetect",0.23812260601542,0.0717054750192445,0.00089746090767631,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_airport__5km","cov","detect","A_anydetect",0.102788911554045,0.0313628300933026,0.00104763429999094,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_airport__5km","cov","tobit","A_anydetect",0.184644385242557,0.0645203820353809,0.00421243539236507,6314,3500,0.276369971491923,"***"
"PFBS","idw__mil_airport__5km","raw","detect","A_anydetect",-0.0171460137011561,0.0291335314283114,0.556175303300352,6314,3500,0.452011403230915,""
"PFBS","idw__mil_airport__5km","raw","tobit","A_anydetect",-0.10688106776369,0.0527358031887137,0.0426903559864213,6314,3500,0.452011403230915,"**"
"PFBS","idw__mil_airport__5km","cov","detect","A_anydetect",-0.042002720280742,0.0300050831103002,0.161557196398173,6314,3500,0.452011403230915,""
"PFBS","idw__mil_airport__5km","cov","tobit","A_anydetect",-0.119986123814532,0.0530853244226669,0.0238057167158383,6314,3500,0.452011403230915,"**"
"PFHxA","idw__mil_airport__5km","raw","detect","A_anydetect",0.143927030615384,0.0261227282036261,3.59552490756926e-08,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__5km","raw","tobit","A_anydetect",0.188131574114348,0.041539178460382,5.92592129467517e-06,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__5km","cov","detect","A_anydetect",0.107668257961417,0.0258952345346644,3.21270036572287e-05,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__5km","cov","tobit","A_anydetect",0.115670149848797,0.0408915181024148,0.00467363715805499,6314,3500,0.465473550839405,"***"
"PFPeA","idw__mil_airport__5km","raw","detect","A_anydetect",0.144270126528118,0.0260243069400577,2.96199629765472e-08,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_airport__5km","raw","tobit","A_anydetect",0.235202455784656,0.0512798882791476,4.50433489620791e-06,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_airport__5km","cov","detect","A_anydetect",0.0949559385930493,0.0250735487553806,0.000152418164861447,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_airport__5km","cov","tobit","A_anydetect",0.142423439590698,0.0445149541574956,0.00137689322311948,6314,3500,0.541019955654102,"***"
"PFBA","idw__mil_airport__5km","raw","detect","A_anydetect",0.068971644804001,0.0337365437687938,0.0409121317119747,6314,3500,0.432689261957555,"**"
"PFBA","idw__mil_airport__5km","raw","tobit","A_anydetect",0.264259753422381,0.105528265258844,0.0122742208576584,6314,3500,0.432689261957555,"**"
"PFBA","idw__mil_airport__5km","cov","detect","A_anydetect",0.0539909237906618,0.0300760931467376,0.072630730137629,6314,3500,0.432689261957555,"*"
"PFBA","idw__mil_airport__5km","cov","tobit","A_anydetect",0.20235250562193,0.0702160696161037,0.00395342074648294,6314,3500,0.432689261957555,"***"
"PFHpA","idw__mil_airport__5km","raw","detect","A_anydetect",0.0424921078154365,0.0215415384280541,0.0485450218139517,6314,3500,0.13588850174216,"**"
"PFHpA","idw__mil_airport__5km","raw","tobit","A_anydetect",0.0900606112804673,0.0573763877398717,0.116497515789793,6314,3500,0.13588850174216,""
"PFHpA","idw__mil_airport__5km","cov","detect","A_anydetect",0.0151219894924575,0.0224144935569885,0.499896700568083,6314,3500,0.13588850174216,""
"PFHpA","idw__mil_airport__5km","cov","tobit","A_anydetect",0.000555732659893636,0.0622720625554328,0.992879557775813,6314,3500,0.13588850174216,""
"PFOS","idw__mil_airport__10km","raw","detect","A_anydetect",0.00831086138040246,0.0126223738832918,0.510266355057511,6314,3500,0.360785555907507,""
"PFOS","idw__mil_airport__10km","raw","tobit","A_anydetect",0.0284734342937606,0.0317157856549732,0.369308964995571,6314,3500,0.360785555907507,""
"PFOS","idw__mil_airport__10km","cov","detect","A_anydetect",0.0113219314660678,0.0130778697307755,0.386637099084589,6314,3500,0.360785555907507,""
"PFOS","idw__mil_airport__10km","cov","tobit","A_anydetect",0.0301145010876399,0.0329673103893491,0.360997763700531,6314,3500,0.360785555907507,""
"PFOA","idw__mil_airport__10km","raw","detect","A_anydetect",0.0336884529298842,0.0141425503580384,0.0172159287417956,6314,3500,0.354450427621159,"**"
"PFOA","idw__mil_airport__10km","raw","tobit","A_anydetect",0.0808549336096352,0.0286434001006543,0.00476044770274242,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_airport__10km","cov","detect","A_anydetect",0.0104940081401665,0.0126863142719124,0.408128671228607,6314,3500,0.354450427621159,""
"PFOA","idw__mil_airport__10km","cov","tobit","A_anydetect",0.0296374338498449,0.0265553156280734,0.264394707153009,6314,3500,0.354450427621159,""
"PFHxS","idw__mil_airport__10km","raw","detect","A_anydetect",0.044365678536561,0.013834322296211,0.00134160468044646,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_airport__10km","raw","tobit","A_anydetect",0.0695433119998809,0.0341369032618244,0.0416311404274058,6314,3500,0.276369971491923,"**"
"PFHxS","idw__mil_airport__10km","cov","detect","A_anydetect",0.0369913914257614,0.0131555630771083,0.0049258383308091,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_airport__10km","cov","tobit","A_anydetect",0.0515841392213051,0.0312008231037435,0.0982710070790924,6314,3500,0.276369971491923,"*"
"PFBS","idw__mil_airport__10km","raw","detect","A_anydetect",-0.00822835867795113,0.0131398434838365,0.531174349553893,6314,3500,0.452011403230915,""
"PFBS","idw__mil_airport__10km","raw","tobit","A_anydetect",-0.0614098683314458,0.024464648779663,0.0120680862380674,6314,3500,0.452011403230915,"**"
"PFBS","idw__mil_airport__10km","cov","detect","A_anydetect",-0.0193256066646829,0.013734897477935,0.15941430791591,6314,3500,0.452011403230915,""
"PFBS","idw__mil_airport__10km","cov","tobit","A_anydetect",-0.0625349436462319,0.0250546764178681,0.0125624207506783,6314,3500,0.452011403230915,"**"
"PFHxA","idw__mil_airport__10km","raw","detect","A_anydetect",0.108108838165004,0.0117915204799534,4.80294893086044e-20,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__10km","raw","tobit","A_anydetect",0.143565843413885,0.0185412954703155,9.7073627209352e-15,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__10km","cov","detect","A_anydetect",0.0901426611421306,0.0117987045246496,2.17141884066126e-14,6314,3500,0.465473550839405,"***"
