"","Group.1","x","threedigitdescription"
"47","541",454858648.9,"Professional, Scientific, and Technical Services"
"5","236",125085687.54,"Construction of Buildings"
"6","237",87365755.53,"Heavy and Civil Engineering Construction"
"48","561",34808418.49,"Administrative and Support Services"
"7","238",25006553.43,"Specialty Trade Contractors"
"50","611",19794391.36,"Educational Services"
"53","623",17312841.53,"Nursing and Residential Care Facilities"
"49","562",14598478.58,"Waste Management and Remediation Services"
"38","511",10371841.63,"Publishing Industries (Except Internet)"
"8","311",10049589.8000001,"Food Manufacturing"
"52","622",6782798.53,"Hospitals"
"22","334",5448465.03,"Computer and Electronic Product Manufacturing"
"51","621",5298021.92,"Ambulatory Health Care Services"
"26","339",4648270.19,"Miscellaneous Manufacturing"
"40","517",4491344.13,"Telecommunications"
"59","811",3559394.96,"Repair and Maintenance"
"24","336",3471301.89,"Transportation Equipment Manufacturing"
"58","722",3095971.57,"Food Services and Drinking Places"
"15","324",2593669.33,"Petroleum and Coal Products Manufacturing"
"20","332",2524620.14,"Fabricated Metal Product Manufacturing"
"4","221",2473697.44,"Utilities"
"46","532",1969181.38,"Rental and Leasing Services"
"19","331",1911610.5,"Primary Metal Manufacturing"
"32","481",1667348.01,"Air Transportation"
"57","721",1406898.5,"Accommodation"
"37","493",1359248.96,"Warehousing and Storage"
"23","335",1160970.81,"Electrical Equipment, Appliance, and Component Manufacturing"
"54","624",1075501.84,"Social Assistance"
"60","812",1060670.56,"Personal and Laundry Services"
"11","315",976466.94,"Apparel Manufacturing"
"21","333",924105.449999999,"Machinery Manufacturing"
"33","484",845462.69,"Truck Transportation"
"35","488",517886.95,"Support Activities for Transportation"
"36","492",504021.19,"Couriers and Messengers"
"10","314",486954.44,"Textile Product Mills"
"27","423",431603.18,"Merchant Wholesalers, Durable Goods"
"16","325",275037.59,"Chemical Manufacturing"
"61","813",227347.95,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
"44","524",172550,"Insurance Carriers and Related Activities"
"31","454",92230.92,"Nonstore Retailers"
"39","515",74724.1,"Broadcasting (Except Internet)"
"42","519",69836.94,"Other Information Services"
"34","485",56432,"Transit and Ground Passenger Transportation"
"62","922",43238,"Justice, Public Order, and Safety Activities"
"2","115",41500,"Support Activities for Agriculture and Forestry"
"3","213",26810,"Support Activities for Mining"
"1","112",26436,"Animal Production"
"41","518",24999.52,"Data Processing, Hosting, and Related Services"
"55","711",16360,"Performing Arts, Spectator Sports, and Related Industries"
"12","316",14810,"Leather and Allied Product Manufacturing"
"18","327",12044.7,"Nonmetallic Mineral Product Manufacturing"
"28","443",11370.7,"Electronics and Appliance Stores"
"9","312",10396.4,"Beverage and Tobacco Product Manufacturing"
"17","326",3294.74,"Plastics and Rubber Products Manufacturing"
"14","322",2985.02,"Paper Manufacturing"
"29","444",1787.05,"Building Material and Garden Equipment and Supplies Dealers"
"30","446",1112.79,"Health and Personal Care Stores"
"56","713",-11253.38,"Amusement, Gambling, and Recreation Industries"
"13","321",-29624.6,"Wood Product Manufacturing"
"43","522",-53018.59,"Credit Intermediation and Related Activities"
"63","924",-64885.69,"Administration of Environmental Quality Programs"
"45","531",-155608,"Real Estate"
"25","337",-247673.06,"Furniture and Related Product Manufacturing"
