DoD_Component,State_Territory,Installation_Name,Installation_Type,Cleanup_Status
Army,Alabama,AASF #1 R W Shepherd Hope Hull,National Guard,PA/SI Underway
Army,Alabama,AASF #2 Birmingham,National Guard,PA/SI Underway
Army,Alabama,AASF #3 Bates Field Mobile,National Guard,PA/SI Underway
Army,Alabama,ALAAP,BRAC,PA/SI Underway
Army,Alabama,Anniston Army Depot,Active,PA/SI Underway
Army,Alabama,Fort McClellan,National Guard,Action
Army,Alabama,Fort McClellan BRAC,BRAC,PA/SI Underway
Army,Alabama,Fort Rucker,Active,PA/SI Underway
Army,Alabama,Pelham Range,National Guard,Action
Army,Alabama,Redstone Arsenal,Active,PA/SI Underway
Army,Alaska,Bethel AAOF,National Guard,PA/SI Underway
Army,Alaska,Bryant Airfield- JBER,National Guard,PA/SI Underway
Army,Alaska,Fort Greely,Active,PA/SI Underway
Army,Alaska,Fort Wainwright,Active,PA/SI Underway
Army,Alaska,Fort Wainwright - Gerstle River Test Site,Active,PA/SI Underway
Army,Alaska,Fort Wainwright - Haines Pipeline Facilities,Active,PA/SI Underway
Army,Alaska,Juneau AAOF,National Guard,PA/SI Underway
Army,Alaska,Nome AAOF,National Guard,PA/SI Underway
Army,Arizona,Camp Navajo,National Guard,PA/SI Underway
Army,Arizona,Florence Military Reservation,National Guard,Action
Army,Arizona,Fort Huachuca,Active,PA/SI Underway
Army,Arizona,Popago Military Reservation,National Guard,PA/SI Underway
Army,Arizona,Silver Bell Army Heliport,National Guard,PA/SI Underway
Army,Arizona,Tempe Readiness Center,National Guard,Action
Army,Arizona,Yuma Proving Ground,Active,PA/SI Underway
Army,Arkansas,Camp Robinson,National Guard,PA/SI Underway
Army,Arkansas,Fort Chaffee,BRAC,PA/SI Underway
Army,Arkansas,Pine Bluff Arsenal,Active,PA/SI Underway
Army,California,Camp Roberts,National Guard,PA/SI Underway
Army,California,Camp San Luis Obispo,National Guard,PA/SI Underway
Army,California,Fort Hunter Liggett,Active,PA/SI and RI Underway
Army,California,Training Area,Active,PA/SI Underway
Army,California,Fort Irwin,Active,PA/SI Underway
Army,California,Fort Ord,BRAC,PA/SI Underway
Army,California,Fresno TASMG,National Guard,PA/SI Underway
Army,California,Hamilton Airfield,BRAC,PA/SI Underway
Army,California,JFTB Los Alamitos,National Guard,PA/SI and RI Underway
Army,California,Lompoc,BRAC,PA/SI Underway
Army,California,Military Ocean Terminal Concord,Active,PA/SI Underway
Army,California,NG Sacramento Mather (AASF),National Guard,PA/SI Underway
Army,California,Presidio of Monterey,Active,PA/SI Underway
Army,California,Presidio of Monterey - Sharpe Army Depot,Active,PA/SI Underway
Army,California,Rio Vista,BRAC,PA/SI Underway
Army,California,Riverbank Army Ammunition Plant,BRAC,PA/SI Underway
Army,California,Roseville Armory,National Guard,PA/SI Underway
Army,California,Sacramento Army Depot,BRAC,PA/SI Underway
Army,California,Sierra Army Depot,Active,PA/SI Underway
Army,California,Sierra Army Depot BRAC,BRAC,PA/SI Underway
Army,California,Stockton AASF,National Guard,PA/SI Underway
Army,Colorado,Buckley Air Force Base AASF,National Guard,PA/SI Underway
Army,Colorado,Fort Carson,Active,PA/SI Underway
Army,Colorado,Gypsum (HAATS),National Guard,PA/SI Underway
Army,Colorado,Pueblo Army Depot Active,Active,PA/SI Underway
Army,Colorado,Pueblo Army Depot BRAC,BRAC,PA/SI Underway
Army,Colorado,Rocky Mountain Arsenal,Active,Action
Army,Connecticut,Groton AVCRAD and TASMG Hangar 2,National Guard,PA/SI Underway
Army,Connecticut,Windsor Locks AASF,National Guard,PA/SI Underway
Army,Delaware,Duncan Armory AASF,National Guard,PA/SI Underway
Army,Delaware,River Road Training Site,National Guard,Action
Army,Delaware,Stern Armory,National Guard,Action
Army,Delaware,Wilmington Armory,National Guard,Action
Army,Florida,"Brooksville RC, AASF #2",National Guard,PA/SI Underway
Army,Florida,Camp Blanding,National Guard,PA/SI Underway
Army,Florida,Dade City Readiness Center,National Guard,Action
Army,Florida,Fort Pierce Readiness Center,National Guard,Action
Army,Florida,"Jacksonville, Cecil Field, AASF #1",National Guard,Another Installation
Army,Florida,Lakeland Readiness Center,National Guard,Action
Army,Florida,Mariana Readiness Ctr,National Guard,PA/SI Underway
Army,Florida,Pensacola (Ellyson Field),National Guard,Action
Army,Florida,Plant City Readiness Center,National Guard,Action
Army,Georgia,Fort Benning,Active,PA/SI Underway
Army,Georgia,Fort Benning - Camp Merrill,Active,PA/SI Underway
Army,Georgia,Fort Gillem,BRAC,PA/SI Underway
Army,Georgia,Fort Gordon,Active,PA/SI Underway
Army,Georgia,Fort Gordon - Gillem Annex,Active,PA/SI Underway
Army,Georgia,Fort McPherson,BRAC,Action
Army,Georgia,Fort Stewart,Active,PA/SI Underway
Army,Georgia,Fort Stewart - Hunter AAF,Active,PA/SI Underway
Army,Georgia,Center,National Guard,PA/SI Underway
Army,Georgia,Georgia Garrison Training Center,National Guard,Action
Army,Georgia,Hunter AAF - AASF Hangar 805,National Guard,Another Installation
Army,Georgia,Winder Barrow County Airport (enclave),National Guard,PA/SI Underway
Army,Guam,AASF Guam,National Guard,PA/SI Underway
Army,Hawaii,Fort Ruger,National Guard,Action
Army,Hawaii,Hilo AASF #2,National Guard,Action
Army,Hawaii,NAS),National Guard,PA/SI Underway
Army,Hawaii,USAG HI - Dillingham Military Reservation,Active,PA/SI Underway
Army,Hawaii,Medical Center,Active,PA/SI Underway
Army,Hawaii,USAG HI - Hawaii - Wheeler Army Airfield,Active,PA/SI Underway
Army,Hawaii,USAG HI - Helemano RAD REC Station,Active,PA/SI Underway
Army,Hawaii,USAG HI - Kahuku Training Area,Active,PA/SI Underway
Army,Hawaii,USAG HI - Kilauea Military Reservation,Active,PA/SI Underway
Army,Hawaii,USAG HI - Kipapa Ammunition Storage Site Active,PA/SI Underway,NA
Army,Hawaii,USAG HI - Kunia Field Station,Active,PA/SI Underway
Army,Hawaii,USAG HI - Makua Military Reservation,Active,PA/SI Underway
Army,Hawaii,USAG HI - Oahu - Schofield Barracks,Active,PA/SI Underway
Army,Hawaii,USAG HI - Pohakuloa Training Center,Active,PA/SI Underway
Army,Hawaii,(UTES),National Guard,PA/SI Underway
Army,Idaho,Edgemeade TS Mountain Home,National Guard,Action
Army,Idaho,Gowen Field Boise/Airport Training Area,National Guard,PA/SI Underway
Army,Idaho,Orchard MATES Boise,National Guard,PA/SI Underway
Army,Illinois,Charles Melvin Price Support Center,Active,PA/SI Underway
Army,Illinois,"Chicago (Midway Armory, AASF #2)",National Guard,PA/SI Underway
Army,Illinois,Decatur AASF #1,National Guard,PA/SI Underway
Army,Illinois,Fort Sheridan,BRAC,PA/SI Underway
Army,Illinois,Joliet Army Ammunition Plant,Active,PA/SI Underway
Army,Illinois,Kankakee AASF / Readiness Center,National Guard,Action
Army,Illinois,Peoria AASF #3 and AASF #4,National Guard,PA/SI Underway
Army,Illinois,Rock Island Arsenal,Active,PA/SI Underway
Army,Illinois,Savanna Army Depot,BRAC,PA/SI Completed - RI Planned
Army,Illinois,Sparta Armory,National Guard,Action
Army,Indiana,Camp Atterbury/Range 36 ATG,National Guard,PA/SI Underway
Army,Indiana,Fort Benjamin Harrison,BRAC,PA/SI Underway
Army,Indiana,Gary AASF,National Guard,PA/SI Underway
Army,Indiana,Indiana Army Ammunition Plant,Active,PA/SI Underway
Army,Indiana,Muscatatuck Urban Training Center,National Guard,PA/SI Underway
Army,Indiana,Newport Chemical Depot,BRAC,PA/SI Underway
Army,Indiana,Shelbyville AASF,National Guard,PA/SI Underway
Army,Iowa,Boone AASF,National Guard,PA/SI Underway
Army,Iowa,Camp Dodge Johnston Training Site,National Guard,PA/SI Completed - RI Planned
Army,Iowa,Davenport AASF,National Guard,PA/SI Underway
Army,Iowa,Iowa Army Ammunition Plant,Active,PA/SI Underway
Army,Iowa,Waterloo Big Rock AASF #2,National Guard,PA/SI Underway
Army,Kansas,ASF New Century,Active,PA/SI Underway
Army,Kansas,Fort Leavenworth,Active,PA/SI Completed - RI Underway
Army,Kansas,Fort Riley,Active,PA/SI and RI Underway
Army,Kansas,Kansas Army Ammunition Plant,BRAC,PA/SI Underway
Army,Kansas,Salina AASF #2,National Guard,PA/SI Underway
Army,Kansas,Sunflower Army Ammunition Plant,Active,PA/SI Underway
Army,Kansas,Topeka Forbes Field AASF #1,National Guard,PA/SI Completed - RI Planned
Army,Kentucky,Blue Grass Army Depot,Active,PA/SI Underway
Army,Kentucky,Bluegrass Army Depot BRAC,BRAC,PA/SI Underway
Army,Kentucky,Boone National Guard Center - AASF,National Guard,PA/SI Underway
Army,Kentucky,Fort Campbell,Active,PA/SI Underway
Army,Kentucky,Fort Knox,Active,PA/SI Underway
Army,Kentucky,W.H. Ford Regional Training Center,National Guard,PA/SI Underway
Army,Louisiana,Camp Beauregard,National Guard,PA/SI Underway
Army,Louisiana,Camp Minden,National Guard,Action
Army,Louisiana,Camp Villere,National Guard,Action
Army,Louisiana,Esler Field AASF #2,National Guard,PA/SI Underway
Army,Louisiana,Fort Polk,Active,PA/SI Underway
Army,Louisiana,Fort Polk - Peason Ridge,Active,PA/SI Underway
Army,Louisiana,Hammond AASF #1,National Guard,PA/SI Underway
Army,Louisiana,Lake Charles Chenault Airfield,National Guard,PA/SI Underway
Army,Maine,Bangor Training Site,National Guard,PA/SI Underway
Army,Maine,Brunswick West,National Guard,Action
Army,Maine,Brunswick Armed Forces Reserve Center,National Guard,Action
Army,Maine,Brunswick East,National Guard,Action
Army,Maine,Caswell Training Site,National Guard,Action
Army,Maine,Presque Isle SFRO,National Guard,Action
Army,Marshall Islands,Kwajalein Atoll,Active,PA/SI Underway
Army,Maryland,Aberdeen Proving Ground,Active,PA/SI Underway
Army,Maryland,Laboratory Center,Active,PA/SI Underway
Army,Maryland,Fort Detrick,Active,PA/SI Underway
Army,Maryland,Fort Detrick - Forest Glen Annex,Active,PA/SI Underway
Army,Maryland,Fort Meade,Active,PA/SI Underway
Army,Maryland,Fort Meade,BRAC,PA/SI Underway
Army,Maryland,Fort Meade - Phoenix Military Reservation,Active,PA/SI Underway
Army,Maryland,Weide AASF (enclave on APG),National Guard,Another Installation
Army,Massachusetts,Camp Edwards,National Guard,PA/SI Underway
Army,Massachusetts,Devens,BRAC,PA/SI Completed - RI Underway
Army,Massachusetts,Devens Reserve Forces Training Area,Active,PA/SI Underway
Army,Massachusetts,Natick Soldier Systems Center,Active,Action
Army,Massachusetts,Sudbury,BRAC,PA/SI Underway
Army,Massachusetts,Westfield/Barnes AASF,National Guard,Action
Army,Michigan,Belmont Armory,National Guard,Action
Army,Michigan,Detroit Arsenal,Active,PA/SI Underway
Army,Michigan,Detroit Arsenal,BRAC,PA/SI Underway
Army,Michigan,Ft Custer,National Guard,PA/SI Underway
Army,Michigan,Grand Ledge AASF,National Guard,PA/SI Completed - RI Planned
Army,Michigan,Lansing Airport Hangar,National Guard,PA/SI Underway
Army,Michigan,wide PAI),National Guard,PA/SI Completed - RI Underway
Army,Michigan,MTC-H Camp Grayling-Cantonment,National Guard,PA/SI and RI Underway
Army,Michigan,MTC-H Camp Grayling-MATES,National Guard,PA/SI Completed - RI Planned
Army,Minnesota,Camp Ripley (all AOIs),National Guard,PA/SI Underway
Army,Minnesota,(Western AOI SI),National Guard,PA/SI Underway
